PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name]
EXPORT_PRMP_ADP,2026-01-14T00:00:00,Groupe MH,QUATREM,QUA2A,FR001400IAY2,MH AMUNDI ACTIONS EUROPE EX EURO,1374.78,2026-01-12T00:00:00,P,14780,1000,14855524,14855524,20319248.4,PP,FC_Act_exEUR,PP_FAC_Act_ExEUR,FR41,10187321,PP_FAC_Act_ExEUR,14855524,5463724.3999999985,M7EUM,-0.00143152536981071,20290160.880419914,5434636.880419914,QUATREM AG,Hors mandat QUATREM AG,0,5434636.880419914,20290160.880419914,2026-01-13T00:00:00,PP_FAC_Act,QUATREM HM ACT COTE
EXPORT_PRMP_ADP,2026-01-14T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007045950,FEDERIS ISR EURO M,2481.24,2026-01-12T00:00:00,P,24261,1,20164514.1,20164514.1,60197363.64,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,20164514.1,40032849.54,,0,60197363.64,40032849.54,AUXIA AG,Hors mandat AUXIA AG,0,40032849.54,60197363.64,,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-14T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2553.04,2026-01-12T00:00:00,P,7888,1,8412826.24,8412826.24,20138379.52,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,8412826.24,11725553.28,,0,20138379.52,11725553.28,AUXIA AG,Hors mandat AUXIA AG,0,11725553.28,20138379.52,,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-14T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,484.02,2026-01-12T00:00:00,P,60537,1,11652333.39,11652333.39,29301118.740000002,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,17648785.35,,0,29301118.740000002,17648785.35,AUXIA AG,Hors mandat AUXIA AG,0,17648785.35,29301118.740000002,,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-14T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6808.88,2026-01-12T00:00:00,P,840,1,1476258,1476258,5719459.2,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1476258,4243201.2,,0,5719459.2,4243201.2,AUXIA AG,Hors mandat AUXIA AG,0,4243201.2,5719459.2,,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-14T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400CCX3,GEMEQUITY PART MH,144.08,2026-01-12T00:00:00,P,10886,1,1080979.8,1080979.8,1568454.88,PP,FC_Act_Emerg,PP_FAC_Act_Eme,XL41,9588501,PP_FAC_Act_Eme,1080979.8,487475.07999999984,MSDEEEMN,0.00682284541723668,1579156.2051901505,498176.4051901505,AUXIA AG,Hors mandat AUXIA AG,0,498176.4051901505,1579156.2051901505,2026-01-13T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-14T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3540.12,2026-01-12T00:00:00,P,2700,1,3878112,3878112,9558324,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,3878112,5680212,,0,9558324,5680212,AUXIA AG,Hors mandat AUXIA AG,0,5680212,9558324,,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-14T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,996.46,2026-01-12T00:00:00,P,22218,1,8865004.54,8865004.54,22139348.28,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.54,13274343.740000002,,0,22139348.28,13274343.740000002,AUXIA AG,Hors mandat AUXIA AG,0,13274343.740000002,22139348.28,,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-14T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4504.83,2026-01-12T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,40516441.02,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,20086270.71,,0,40516441.02,20086270.71,AUXIA AG,Hors mandat AUXIA AG,0,20086270.71,40516441.02,,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-01-14T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007045950,FEDERIS ISR EURO M,2481.24,2026-01-12T00:00:00,P,940,1,1058205.11,1058205.11,2332365.6,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,1058205.11,1274160.49,,0,2332365.6,1274160.49,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,1274160.49,2332365.6,,PP_FAC_Act,AUXIA ASS HM ACT COTE
EXPORT_PRMP_ADP,2026-01-14T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6808.88,2026-01-12T00:00:00,P,80,1,354119.48,354119.48,544710.4,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,354119.48,190590.92000000004,,0,544710.4,190590.92000000004,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,190590.92000000004,544710.4,,PP_FAC_Act,AUXIA ASS HM ACT COTE
EXPORT_PRMP_ADP,2026-01-14T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007074166,LBPAM ACTIONS VALUE EURO,3472.36,2026-01-12T00:00:00,P,360,1,482660.91,482660.91,1250049.6,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,482660.91,767388.6900000002,,0,1250049.6,767388.6900000002,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,767388.6900000002,1250049.6,,PP_FAC_Act,AUXIA ASS HM ACT COTE
EXPORT_PRMP_ADP,2026-01-14T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007022793,LBPAM ACTIONS EX-EURO-M,5300.94,2026-01-12T00:00:00,P,46,1,128144.68,128144.68,243843.24,PP,FC_Act_exEUR,PP_FAC_Act_ExEUR,FR41,5873215,PP_FAC_Act_ExEUR,128144.68,115698.56,M7EUM,-0.00143152536981071,243494.17221568315,115349.49221568316,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,115349.49221568316,243494.17221568315,2026-01-13T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE
