PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Date J]
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,QUATREM,QUA2A,FR0011441583,LBPAM ISR Opti Euro Equity MH,2556.27,2026-01-15T00:00:00,P,105623,1,270000906.21,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,270000906.21,0,0,270000906.21,0,QUATREM AG,Hors mandat QUATREM AG,0,0,270000906.21,PP_FAC_Act,QUATREM HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400IAW6,MH AMUNDI ACTIONS EURO C,1515.44,2026-01-15T00:00:00,P,13278,1000,20122012.319999997,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,10184067,PP_FAC_Act_EUR_LC,20122012.319999997,0,0,20122012.319999997,0,AUXIA AG,Hors mandat AUXIA AG,0,0,20122012.319999997,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,AUXIA,AUX2E,LU1956164344,BNPP Rspnb US Mlt-Fac Eq I EUR Acc,230.26,2026-01-16T00:00:00,P,18400,1,4236784,PP,FC_Act_US,,LU41,11976073,PP_FAC_Act_EUR_LC,4236784,0,0,4236784,0,AUXIA AG,Hors mandat AUXIA AG,0,0,4236784,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,AUXIA,AUX2E,FR0010752865,COVEA PROFIL DYNAMIQUE D,120.21,2026-01-14T00:00:00,P,4224.5429,1,507832.3,PP,FC_Div,PP_FAC_Act_EUR_LC,FR41,8466180,PP_FAC_Act_EUR_LC,507832.3,0,0,507832.3,0,AUXIA AG,Hors mandat AUXIA AG,0,0,507832.3,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007045950,FEDERIS ISR EURO M,2489.71,2026-01-15T00:00:00,P,24261,1,60402854.31,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,60402854.31,0,0,60402854.31,0,AUXIA AG,Hors mandat AUXIA AG,0,0,60402854.31,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2556.27,2026-01-15T00:00:00,P,7888,1,20163857.759999998,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,20163857.759999998,0,0,20163857.759999998,0,AUXIA AG,Hors mandat AUXIA AG,0,0,20163857.759999998,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,480.02,2026-01-15T00:00:00,P,60537,1,29058970.74,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,29058970.74,0,0,29058970.74,0,AUXIA AG,Hors mandat AUXIA AG,0,0,29058970.74,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6816.36,2026-01-15T00:00:00,P,840,1,5725742.4,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,5725742.4,0,0,5725742.4,0,AUXIA AG,Hors mandat AUXIA AG,0,0,5725742.4,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3546.97,2026-01-15T00:00:00,P,2700,1,9576819,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,9576819,0,0,9576819,0,AUXIA AG,Hors mandat AUXIA AG,0,0,9576819,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,1006.15,2026-01-15T00:00:00,P,22218,1,22354640.7,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,22354640.7,0,0,22354640.7,0,AUXIA AG,Hors mandat AUXIA AG,0,0,22354640.7,PP_FAC_Act,AUXIA HM ACT COTE,,
