PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Date J]
EXPORT_PRMP_ADP,2026-01-28T00:00:00,Groupe MH,MHRS,MRS2C,FR0007022793,LBPAM ACTIONS EX-EURO-M,5297.59,2026-01-26T00:00:00,P,1875,1,3843351.95,3843351.95,9932981.25,PP,FC_Act_exEUR,PP_FAC_Act_ExEUR,FR41,5873215,PP_FAC_Act_ExEUR,3843351.95,6089629.3,0,9932981.25,6089629.3,MHRS AG,Hors mandat MHRS AG,0,6089629.3,9932981.25,PP_FAC_Act,MHRS HM ACTIFS COTE,,
EXPORT_PRMP_ADP,2026-01-28T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007045950,FEDERIS ISR EURO M,2458.49,2026-01-26T00:00:00,P,24261,1,20164514.1,20164514.1,59645425.88999999,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,20164514.1,39480911.78999999,0.00589187611136169,59996849.34995329,39832335.249953285,AUXIA AG,Hors mandat AUXIA AG,0,39832335.249953285,59996849.34995329,PP_FAC_Act,AUXIA HM ACT COTE,M7EM,2026-01-27T00:00:00
EXPORT_PRMP_ADP,2026-01-28T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2521.04,2026-01-26T00:00:00,P,7888,1,8412826.24,8412826.24,19885963.52,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,8412826.24,11473137.28,0.00589187611136169,20003129.153414898,11590302.913414897,AUXIA AG,Hors mandat AUXIA AG,0,11590302.913414897,20003129.153414898,PP_FAC_Act,AUXIA HM ACT COTE,M7EM,2026-01-27T00:00:00
EXPORT_PRMP_ADP,2026-01-28T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,468.26,2026-01-26T00:00:00,P,60537,1,11652333.39,11652333.39,28347055.619999997,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,16694722.229999997,0.00589187611136169,28514072.95983492,16861739.569834918,AUXIA AG,Hors mandat AUXIA AG,0,16861739.569834918,28514072.95983492,PP_FAC_Act,AUXIA HM ACT COTE,M7EM,2026-01-27T00:00:00
EXPORT_PRMP_ADP,2026-01-28T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6713.53,2026-01-26T00:00:00,P,840,1,1476258,1476258,5639365.2,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1476258,4163107.2,0.00589187611136169,5672591.641105125,4196333.641105125,AUXIA AG,Hors mandat AUXIA AG,0,4196333.641105125,5672591.641105125,PP_FAC_Act,AUXIA HM ACT COTE,M7EM,2026-01-27T00:00:00
EXPORT_PRMP_ADP,2026-01-28T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,997.87,2026-01-26T00:00:00,P,22218,1,8865004.54,8865004.54,22170675.66,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.54,13305671.120000001,0.00589187611136169,22301302.534293905,13436297.994293906,AUXIA AG,Hors mandat AUXIA AG,0,13436297.994293906,22301302.534293905,PP_FAC_Act,AUXIA HM ACT COTE,M7EM,2026-01-27T00:00:00
EXPORT_PRMP_ADP,2026-01-28T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4401.93,2026-01-26T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,39590958.42,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,19160788.11,0,39590958.42,19160788.11,AUXIA AG,Hors mandat AUXIA AG,0,19160788.11,39590958.42,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-28T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400CCX3,GEMEQUITY PART MH,145.15,2026-01-26T00:00:00,P,10886,1,1080979.8,1080979.8,1580102.9,PP,FC_Act_Emerg,PP_FAC_Act_Eme,XL41,9588501,PP_FAC_Act_Eme,1080979.8,499123.09999999986,0.00821944345788574,1593090.466444191,512110.666444191,AUXIA AG,Hors mandat AUXIA AG,0,512110.666444191,1593090.466444191,PP_FAC_Act,AUXIA HM ACT COTE,MSDEEEMN,2026-01-27T00:00:00
EXPORT_PRMP_ADP,2026-01-28T00:00:00,Groupe MH,AUXIA,AUX2E,LU2541301847,EdRF EM Climate Bonds S EUR H,108.39,2026-01-26T00:00:00,P,35239,1,3518261.7600000007,3518261.7600000002,3819555.21,PP,FC_Taux_Emerg,PP_FAC_Taux_Eme,LU42,11008396,PP_FAC_Taux_Eme,3518261.7600000002,301293.4499999997,0,3819555.21,301293.4499999997,AUXIA AG,Hors mandat AUXIA AG,0,301293.4499999997,3819555.21,PP_FAC_Taux,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-28T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007040365,MH EDRAM HYBRIDES CORPORATE,33756.18,2026-01-26T00:00:00,P,186,1,5000211.96,5000211.96,6278649.48,PP,FC_Taux_HY,PP_FAC_Taux_Corp_HY,XL42,1334621,PP_FAC_Taux_Corp_HY,5000211.96,1278437.5200000005,0.000695413809148192,6283015.739551193,1282803.7795511931,AUXIA AG,Hors mandat AUXIA AG,0,1282803.7795511931,6283015.739551193,PP_FAC_Taux,AUXIA HM ACT COTE,HE00,2026-01-27T00:00:00
EXPORT_PRMP_ADP,2026-01-28T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0011758044,LBPAM PRO ALTO M,1135.35,2026-01-26T00:00:00,P,1153,1,1152877.74,1152877.74,1309058.55,PP,FC_Div,PP_FAC_Taux_Corp_IG,FR42,5873495,PP_FAC_Taux_Corp_IG,1152877.74,156180.81000000006,0,1309058.55,156180.81000000006,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,156180.81000000006,1309058.55,PP_FAC_Taux,AUXIA ASS HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-28T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0000986531,SELECTION VALEURS MOYENNES,997.87,2026-01-26T00:00:00,P,737,1,291444.63,291444.63,735430.19,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,291444.63,443985.55999999994,0.00589187611136169,739763.2535680352,448318.6235680352,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,448318.6235680352,739763.2535680352,PP_FAC_Act,AUXIA ASS HM ACT COTE,M7EM,2026-01-27T00:00:00
EXPORT_PRMP_ADP,2026-01-28T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6713.53,2026-01-26T00:00:00,P,80,1,354119.48,354119.48,537082.4,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,354119.48,182962.92000000004,0.00589187611136169,540246.8229623928,186127.34296239284,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,186127.34296239284,540246.8229623928,PP_FAC_Act,AUXIA ASS HM ACT COTE,M7EM,2026-01-27T00:00:00
EXPORT_PRMP_ADP,2026-01-28T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007475975,MH Lazard action euro LC,519.56,2026-01-26T00:00:00,P,4450.778,1,2306393.1596000004,2306393.1596000004,2312446.22,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,2306393.1596000004,6053.060399999842,0.00589187611136169,2326070.866642427,19677.707042426802,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,19677.707042426802,2326070.866642427,PP_FAC_Act,AUXIA ASS HM ACT COTE,M7EM,2026-01-27T00:00:00
EXPORT_PRMP_ADP,2026-01-28T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007074166,LBPAM ACTIONS VALUE EURO,3447.54,2026-01-26T00:00:00,P,360,1,482660.91000000003,482660.91000000003,1241114.4,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,482660.91000000003,758453.4899999999,0.00589187611136169,1248426.892284827,765765.982284827,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,765765.982284827,1248426.892284827,PP_FAC_Act,AUXIA ASS HM ACT COTE,M7EM,2026-01-27T00:00:00
