PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)]
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MHRS,MRS2C,FR0007074166,LBPAM ACTIONS VALUE EURO,3465.31,2026-01-27T00:00:00,P,4278,1,14824596.18,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,14824596.18,0,M7EM,-0.0079417429619271,14706863.047624074,-117733.13237592578,MHRS AG,Hors mandat MHRS AG,0,-117733.13237592578,14706863.047624074,2026-01-28T00:00:00,PP_FAC_Act,MHRS HM ACTIFS COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007045950,FEDERIS ISR EURO M,2470.89,2026-01-27T00:00:00,P,24261,1,59946262.29,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,59946262.29,0,M7EM,-0.0079417429619271,59470184.48336456,-476077.8066354394,AUXIA AG,Hors mandat AUXIA AG,0,-476077.8066354394,59470184.48336456,2026-01-28T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2532.75,2026-01-27T00:00:00,P,7888,1,19978332,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,19978332,0,M7EM,-0.0079417429619271,19819669.222447958,-158662.77755204216,AUXIA AG,Hors mandat AUXIA AG,0,-158662.77755204216,19819669.222447958,2026-01-28T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,468.76,2026-01-27T00:00:00,P,60537,1,28377324.119999997,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,28377324.119999997,0,M7EM,-0.0079417429619271,28151958.705891665,-225365.41410833225,AUXIA AG,Hors mandat AUXIA AG,0,-225365.41410833225,28151958.705891665,2026-01-28T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6737.46,2026-01-27T00:00:00,P,840,1,5659466.4,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,5659466.4,0,M7EM,-0.0079417429619271,5614520.372549538,-44946.0274504628,AUXIA AG,Hors mandat AUXIA AG,0,-44946.0274504628,5614520.372549538,2026-01-28T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,999.64,2026-01-27T00:00:00,P,22218,1,22210001.52,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,22210001.52,0,M7EM,-0.0079417429619271,22033615.39674415,-176386.12325584888,AUXIA AG,Hors mandat AUXIA AG,0,-176386.12325584888,22033615.39674415,2026-01-28T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4369.49,2026-01-27T00:00:00,P,8994,1,39299193.06,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,39299193.06,0,,0,39299193.06,0,AUXIA AG,Hors mandat AUXIA AG,0,0,39299193.06,,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400CCX3,GEMEQUITY PART MH,147.17,2026-01-27T00:00:00,P,10886,1,1602092.62,PP,FC_Act_Emerg,PP_FAC_Act_Eme,XL41,9588501,PP_FAC_Act_Eme,1602092.62,0,MSDEEEMN,0.0189400004574879,1632436.2549557383,30343.634955738205,AUXIA AG,Hors mandat AUXIA AG,0,30343.634955738205,1632436.2549557383,2026-01-28T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,AUXIA,AUX2E,LU2541301847,EdRF EM Climate Bonds S EUR H,108.39,2026-01-27T00:00:00,P,35239,1,3819555.21,PP,FC_Taux_Emerg,PP_FAC_Taux_Eme,LU42,11008396,PP_FAC_Taux_Eme,3819555.21,0,,0,3819555.21,0,AUXIA AG,Hors mandat AUXIA AG,0,0,3819555.21,,PP_FAC_Taux,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007040365,MH EDRAM HYBRIDES CORPORATE,33805.25,2026-01-27T00:00:00,P,186,1,6287776.5,PP,FC_Taux_HY,PP_FAC_Taux_Corp_HY,XL42,1334621,PP_FAC_Taux_Corp_HY,6287776.5,0,HE00,-0.000194580552558224,6286553.020974267,-1223.4790257327259,AUXIA AG,Hors mandat AUXIA AG,0,-1223.4790257327259,6286553.020974267,2026-01-28T00:00:00,PP_FAC_Taux,AUXIA HM ACT COTE,,
