PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Date J]
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,INPR,INP2C,LU2541301847,EdRF EM Climate Bonds S EUR H,107.44,2026-03-19T00:00:00,P,4593,1,458565.12,458565.12,493471.92,PP,FC_Taux_Emerg,PP_FAC_Taux_Eme,LU42,11008396,PP_FAC_Taux_Eme,458565.12,34906.79999999999,0,493471.92,34906.79999999999,INPR AG,Hors mandat INPR AG,0,34906.79999999999,493471.92,PP_FAC_Taux,INPR HM ACT COTE,2026-03-23T00:00:00,,
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3333.05,2026-03-19T00:00:00,P,1300,1,2478112,2478112,4332965,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,2478112,1854853,-0.0189226095922859,4250973.994927961,1772861.9949279614,AUXIA AG,Hors mandat AUXIA AG,0,1772861.9949279614,4250973.994927961,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007475975,MH Lazard action euro LC,482.35,2026-03-19T00:00:00,P,114872.6982,1,20164514.04732495,20164514.04732495,55408845.98,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,20164514.04732495,35244331.93267505,-0.0189226095922859,54360366.01956136,34195851.97223641,AUXIA AG,Hors mandat AUXIA AG,0,34195851.97223641,54360366.019561365,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,445.13,2026-03-19T00:00:00,P,60537,1,11652333.39,11652333.39,26946834.810000002,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,15294501.420000002,-0.0189226095922859,26436930.375142552,14784596.985142551,AUXIA AG,Hors mandat AUXIA AG,0,14784596.985142551,26436930.375142552,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6182.52,2026-03-19T00:00:00,P,840,1,1476258,1476258,5193316.8,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1476258,3717058.8,-0.0189226095922859,5095045.693704541,3618787.693704541,AUXIA AG,Hors mandat AUXIA AG,0,3618787.693704541,5095045.693704541,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,938.76,2026-03-19T00:00:00,P,22218,1,8865004.540000001,8865004.540000001,20857369.68,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.540000001,11992365.139999999,-0.0189226095922859,20462693.81642338,11597689.276423378,AUXIA AG,Hors mandat AUXIA AG,0,11597689.276423378,20462693.81642338,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4351.99,2026-03-19T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,39141798.06,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,18711627.75,0,39141798.06,18711627.75,AUXIA AG,Hors mandat AUXIA AG,0,18711627.75,39141798.06,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-23T00:00:00,,
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400CCX3,GEMEQUITY PART MH,146.75,2026-03-19T00:00:00,P,10886,1,1080979.8,1080979.8,1597520.5,PP,FC_Act_Emerg,PP_FAC_Act_Eme,XL41,9588501,PP_FAC_Act_Eme,1080979.8,516540.69999999995,-0.0113853202235166,1579332.2175438676,498352.4175438676,AUXIA AG,Hors mandat AUXIA AG,0,498352.4175438676,1579332.2175438676,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-23T00:00:00,MSDEEEMN,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400IAY2,MH AMUNDI ACTIONS EUROPE EX EURO,1332.79,2026-03-19T00:00:00,P,2489,1000,2528326.1999999997,2528326.1999999997,3317314.31,PP,FC_Act_exEUR,PP_FAC_Act_ExEUR,FR41,10187321,PP_FAC_Act_ExEUR,2528326.1999999997,788988.1100000003,0,3317314.31,788988.1100000003,AUXIA AG,Hors mandat AUXIA AG,0,788988.1100000003,3317314.31,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-23T00:00:00,,
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0000986531,SELECTION VALEURS MOYENNES,938.76,2026-03-19T00:00:00,P,737,1,291444.63,291444.63,691866.12,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,291444.63,400421.49,-0.0189226095922859,678774.2075211104,387329.5775211104,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,387329.5775211104,678774.2075211104,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
