PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2],PMVL[Ref Unik Asset]
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,INPR,INP2C,FR0011034560,EDR FINANCIAL BDS S,1467.7,2026-03-23T00:00:00,P,326,1,355737.72000000003,355737.72000000003,478470.2,PP,PP_FAC_Taux_Corp_HY,FR42,4879142,PP_FAC_Taux_Corp_HY,355737.72000000003,122732.47999999998,LECPTREU,0.000775796369029899,478841.395443849,123103.67544384894,INPR AG,Hors mandat INPR AG,0,123103.67544384894,478841.395443849,2026-03-23T00:00:00,PP_FAC_Taux,INPR HM ACT COTE,2026-03-25T00:00:00,FC_Taux_Autre
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3305.19,2026-03-23T00:00:00,P,1300,1,2478112,2478112,4296747,PP,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,2478112,1818635,M7EM,0.00258550431385779,4307856.2579040555,1829744.2579040555,AUXIA AG,Hors mandat AUXIA AG,0,1829744.2579040555,4307856.2579040555,2026-03-24T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-25T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007475975,MH Lazard action euro LC,476.58,2026-03-23T00:00:00,P,114872.6982,1,20164514.04732495,20164514.04732495,54746030.51,PP,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,20164514.04732495,34581516.46267505,M7EM,0.00258550431385779,54887576.6080502,34723062.56072524,AUXIA AG,Hors mandat AUXIA AG,0,34723062.56072524,54887576.6080502,2026-03-24T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-25T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,440.4,2026-03-23T00:00:00,P,60537,1,11652333.39,11652333.39,26660494.799999997,PP,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,15008161.409999996,M7EM,0.00258550431385779,26729425.624314982,15077092.234314982,AUXIA AG,Hors mandat AUXIA AG,0,15077092.234314982,26729425.624314982,2026-03-24T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-25T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6149.2,2026-03-23T00:00:00,P,840,1,1476258,1476258,5165328,PP,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1476258,3689070,M7EM,0.00258550431385779,5178682.977826491,3702424.977826491,AUXIA AG,Hors mandat AUXIA AG,0,3702424.977826491,5178682.977826491,2026-03-24T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-25T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,930.62,2026-03-23T00:00:00,P,22218,1,8865004.540000001,8865004.540000001,20676515.16,PP,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.540000001,11811510.62,M7EM,0.00258550431385779,20729974.379141726,11864969.839141725,AUXIA AG,Hors mandat AUXIA AG,0,11864969.839141725,20729974.379141726,2026-03-24T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-25T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4298.97,2026-03-23T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,38664936.18,PP,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,18234765.869999997,,0,38664936.18,18234765.869999997,AUXIA AG,Hors mandat AUXIA AG,0,18234765.869999997,38664936.18,,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-25T00:00:00,FC_Act_US
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400CCX3,GEMEQUITY PART MH,140.54,2026-03-23T00:00:00,P,10886,1,1080979.8,1080979.8,1529918.44,PP,PP_FAC_Act_Eme,XL41,9588501,PP_FAC_Act_Eme,1080979.8,448938.6399999999,MSDEEEMN,0.0176576324798811,1556933.177537713,475953.3775377129,AUXIA AG,Hors mandat AUXIA AG,0,475953.3775377129,1556933.177537713,2026-03-24T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-25T00:00:00,FC_Act_Emerg
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400IAY2,MH AMUNDI ACTIONS EUROPE EX EURO,1311.96,2026-03-23T00:00:00,P,2489,1000,2528326.1999999997,2528326.1999999997,3265468.44,PP,PP_FAC_Act_ExEUR,FR41,10187321,PP_FAC_Act_ExEUR,2528326.1999999997,737142.2400000002,,0,3265468.44,737142.2400000002,AUXIA AG,Hors mandat AUXIA AG,0,737142.2400000002,3265468.44,,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-25T00:00:00,FC_Act_exEUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0000986531,SELECTION VALEURS MOYENNES,930.62,2026-03-23T00:00:00,P,737,1,291444.63,291444.63,685866.94,PP,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,291444.63,394422.30999999994,M7EM,0.00258550431385779,687640.2519321024,396195.62193210237,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,396195.62193210237,687640.2519321024,2026-03-24T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-25T00:00:00,FC_Act_EUR
