ISIN;Instrument type (Decalog);Issr country;Rating S2
QSVETBIOBANK;EQUITY ORD;FRANCE;NR
US4642875151;ETF EQUITIES;USA;NR
US4642875235;ETF EQUITIES;USA;NR
US4642882249;ETF EQUITIES;USA;NR
LU0578133935;M FUND INTL EQU;LUXEMBOURG;NR
FR0011759448;M FUND INTL BON;FRANCE;NR
FR0014001YH7;FCPR;FRANCE;NR
FR0014008N15;M FUND EUR BOND;FRANCE;NR
FR001400N1M1;FCPR;FRANCE;NR
FR0013142643;M FUND CEE EQUI;FRANCE;NR
FR0013326345;MUTUAL FUND PRIVATE DEBT;FRANCE;NR
QS0000000529;EQUITY ORD;FRANCE;NR
FR0013246808;FCPR;FRANCE;NR
IE000LCKJ888;ETF EQUITIES;IRELAND;NR
IE000KHX9DX6;ETF EQUITIES;IRELAND;NR
IE00BJGWQN72;ETF EQUITIES;IRELAND;NR
WSCDIF2;MUTUAL FUND INFRASTRUCTURE;FRANCE;NR
FR0013185865;MUTUAL FUND REAL ESTATE;FRANCE;NR
FR001400DK23;FCPI;FRANCE;NR
FR0012870129;EQUITY ORD;FRANCE;NR
FR0013418431;FCPR;FRANCE;NR
FR010370544S;FCPR;FRANCE;NR
FR010370551S;FCPR;FRANCE;NR
FR0010370544;FCPR;FRANCE;NR
FR0010370551;FCPR;FRANCE;NR
IE0005TF96I9;ETF EQUITIES;IRELAND;NR
IE00BQQP9F84;ETF EQUITIES;IRELAND;NR
IE0005B8WVT6;ETF EQUITIES;IRELAND;NR
IE00BMDKNW35;ETF EQUITIES;IRELAND;NR
IE0001J5A2T9;ETF EQUITIES;IRELAND;NR
IE0007Y8Y157;ETF EQUITIES;IRELAND;NR
IE000YU9K6K2;ETF EQUITIES;IRELAND;NR
IE00BQQP9F84;ETF EQUITIES;IRELAND;NR
IE000M7V94E1;ETF EQUITIES;IRELAND;NR
IE000B9PQW54;ETF EQUITIES;IRELAND;NR
IE000M7V94E1;ETF EQUITIES;IRELAND;NR
IE00BMDH1538;ETF EQUITIES;IRELAND;NR
LU0986646882;M FUND EUR BOND;LUXEMBOURG;A-
LU0384405949;M FUND INTL EQU;LUXEMBOURG;NR
LU2358392376;M FUND BALANCED;LUXEMBOURG;NR
LU2358390917;M FUND BALANCED;LUXEMBOURG;NR
IE00B03HCV24;M FUND INTL EQU;IRELAND;NR
IE00BFMXYP42;ETF EQUITIES;IRELAND;NR
FR0011441799;M FUND INTL BON;FRANCE;BB-
FR0011441781;M FUND INTL BON;FRANCE;BB-
FR0007000492;M FUND INTL BON;FRANCE;BBB-
FR0010626499;M FUND INTL BON;FRANCE;BBB-
FR0000434797;M FUND BALANCED;FRANCE;A
FR0007485867;M FUND EUR BOND;FRANCE;BBB
FR0010649376;M FUND EUR BOND;FRANCE;BBB
FR0007036009;M FUND BALANCED;FRANCE;B+
FR0011441823;M FUND INTL BON;FRANCE;B-
FR0010413989;M FUND CEE EQUI;FRANCE;A-
FR0014008NW4;M FUND BALANCED;FRANCE;A
FR0014008NX2;M FUND INTL EQU;FRANCE;NR
FR0010649368;M FUND INTL EQU;FRANCE;NR
FR001400CV88;M FUND BALANCED;FRANCE;BBB-
FR0007032404;M FUND CEE EQUI;FRANCE;A-
FR0011441773;M FUND INTL BON;FRANCE;BB-
FR0011441807;M FUND INTL BON;FRANCE;B-
FR0013333267;M FUND BALANCED;FRANCE;BB-
FR0011355999;M FUND EUR BOND;FRANCE;BBB-
FR00140098F4;M FUND BALANCED;FRANCE;BBB-
FR0007036017;M FUND BALANCED;FRANCE;BBB-
FR0007460464;M FUND INTL EQU;FRANCE;NR
FR0010413963;M FUND INTL BON;FRANCE;BBB-
FR0011744713;M FUND CEE EQUI;FRANCE;A-
FR00140098H0;M FUND BALANCED;FRANCE;BBB-
FR0014008DE3;M FUND BALANCED;FRANCE;A
FR0011441815;M FUND INTL BON;FRANCE;B-
FR0007460480;M FUND EUR BOND;FRANCE;BBB
FR0010330514;M FUND EUR BOND;FRANCE;BBB-
FR0007035993;M FUND BALANCED;FRANCE;BBB-
FR0007078217;M FUND INTL EQU;FRANCE;NR
FR001400CV70;M FUND BALANCED;FRANCE;BBB-
FR0014008DF0;M FUND INTL EQU;FRANCE;NR
FR00140098G2;M FUND BALANCED;FRANCE;BBB-
FR001400CV62;M FUND BALANCED;FRANCE;BBB-
QS000212VN81;FCPR;SWITZERLAND;NR
UNICIF;FCPR;FRANCE;NR
LU0147204134;FCPR;LUXEMBOURG;NR
LU0970532437;M FUND EUR BOND;LUXEMBOURG;BBB+
FR0011316744;M FUND CEE EQUI;FRANCE;NR
FR001400NQT8;M FUND INTL BON;FRANCE;NR
FR0013413309;M FUND INTL BON;FRANCE;NR
FR0007082060;M FUND CEE EQUI;FRANCE;NR
FR0013371002;M FUND EUR BOND;FRANCE;NR
IE00B7KMNP07;ETF EQUITIES;IRELAND;NR
IE00BD4TYG73;ETF EQUITIES;IRELAND;NR
FR0010622654;M FUND BALANCED;FRANCE;NR
FR0013530888;FCPR;FRANCE;NR
FR0013260304;M FUND BALANCED;FRANCE;NR
LU2265794946;ETF EQUITIES;LUXEMBOURG;NR
LU0358423738;M FUND INTL CON;LUXEMBOURG;A+
LU0940717126;M FUND INTL CON;LUXEMBOURG;NR
FR0013385242;FCPR;FRANCE;NR
TRILLIMP2;MUTUAL FUND PRIVATE EQUITY;LUXEMBOURG;NR
FR0011819036;M FUND INTL BON;FRANCE;BBB
FR0013391711;FCPR;FRANCE;NR
FR0011120344;FCPR;FRANCE;NR
FR0011120351;FCPR;FRANCE;NR
CAPITALSANT3;FCPI;FRANCE;NR
FR0013253572;FCPR;FRANCE;NR
LU1585265066;M FUND EUR BOND;LUXEMBOURG;NR
FR0011585686;FONDS COMMUN DE TITRISATION;FRANCE;NR
FR0013323417;FCPI;FRANCE;NR
LU2178692690;FCPI;FRANCE;NR
FR0011360460;FONDS COMMUN DE TITRISATION;FRANCE;A
FR0013323425;FONDS COMMUN DE TITRISATION;FRANCE;NR
FR0011357730;FONDS COMMUN DE TITRISATION;FRANCE;A
TIKEHAU_SENI;FCPR;FRANCE;NR
IT0005507162;MUTUAL FUND INFRASTRUCTURE;ITALY;NR
LU1862449409;M FUND INTL EQU;LUXEMBOURG;NR
SSCFV;MUTUAL FUND PRIVATE EQUITY;UNITED KINGDOM;NR
LU1159236337;M FUND INTL EQU;LUXEMBOURG;NR
SCHRODERINFV;FCPI;FRANCE;A
FR0013331642;FCPR;FRANCE;NR
FR0013179306;FONDS COMMUN DE TITRISATION;FRANCE;A-
MMBABYLONESA;FCPR;FRANCE;NR
DWHLOANNOTES;FCPR;FRANCE;NR
PIZARROESP21;M FUND BALANCED;LUXEMBOURG;A
LU2647325732;FCPR;FRANCE;BB-
FR001400XIY4;MUTUAL FUND INFRASTRUCTURE;FRANCE;NR
NL0012671903;FCPR;NETHERLANDS;A
FR0014010CE1;FONDS COMMUN DE TITRISATION;FRANCE;NR
LU1683465147;M FUND INTL BON;LUXEMBOURG;BBB
LU0232931963;M FUND INTL EQU;LUXEMBOURG;NR
LU0351441968;M FUND INTL CON;LUXEMBOURG;NR
FR001400UVE5;FONDS COMMUN DE TITRISATION;FRANCE;NR
LU0106235707;M FUND EUR BOND;LUXEMBOURG;A
FR0013423597;M FUND INTL EQU;FRANCE;NR
FR0013321999;M FUND INTL EQU;FRANCE;NR
LU1334564140;HEDGE FUND;LUXEMBOURG;NR
FR0010117093;M FUND CEE EQUI;FRANCE;NR
LU1183791794;M FUND INTL EQU;LUXEMBOURG;NR
LU1301026388;M FUND INTL EQU;LUXEMBOURG;NR
LU2413890737;M FUND INTL EQU;LUXEMBOURG;NR
FR0013219722;FCPE;FRANCE;NR
FR0011060870;M FUND MM;FRANCE;A-
TERRINNOV3D;MUTUAL FUND PRIVATE EQUITY;FRANCE;NR
FPCI14A;FCPI;FRANCE;NR
TERRINNOV3C;MUTUAL FUND PRIVATE EQUITY;FRANCE;NR
FR0013215118;MUTUAL FUND INFRASTRUCTURE;FRANCE;NR
LU2714848012;MUTUAL FUND INFRASTRUCTURE;FRANCE;NR
AMBITION;FCPR;FRANCE;NR
QS0000000222;EQUITY ORD;FRANCE;NR
FR0010614040;FCPR;FRANCE;NR
SMARTTRESO;FONDS COMMUN DE TITRISATION;FRANCE;NR
FPCIMI2;MUTUAL FUND PRIVATE EQUITY;FRANCE;NR
SEQUOIA;MUTUAL FUND INFRASTRUCTURE;UNITED KINGDOM;NR
LU2813322794;FCPR;FRANCE;NR
FR0013220712;M FUND EUR BOND;FRANCE;NR
FR0013079746;FCPR;FRANCE;NR
FR0013472990;FCPR;FRANCE;NR
LU2813322521;FCPR;;NR
FR0014009RC5;M FUND BALANCED;FRANCE;NR
FR0014000PK1;MUTUAL FUND PRIVATE EQUITY;FRANCE;NR
FR0013296944;M FUND EUR BOND;FRANCE;NR
FR001400TR36;MUTUAL FUND PRIVATE DEBT;FRANCE;BB
FR0013471083;M FUND EUR BOND;FRANCE;NR
LU3113265386;MUTUAL FUND PRIVATE DEBT;FRANCE;NR
FR001400XST3;MUTUAL FUND PRIVATE DEBT;FRANCE;
FR0010738138;M FUND EUR BOND;FRANCE;BBB
9,90E+11;FCPE;FRANCE;NR
FR001400ZEW2;M FUND CEE EQUI;FRANCE;A-
FR0007449988;M FUND CEE EQUI;FRANCE;A-
FR001400QKU2;M FUND EUR BOND;FRANCE;A+
FR0014010YK2;M FUND MM;FRANCE;A
9,90E+11;FCPE;FRANCE;NR
9,90E+11;FCPE;FRANCE;BBB+
FR001400QKW8;M FUND CEE EQUI;FRANCE;A-
FR0007457114;M FUND EUR BOND;FRANCE;AA
FR0013312949;M FUND EUR BOND;FRANCE;A
FR001400EZC4;M FUND EUR BOND;FRANCE;BBB
FR0014007G07;M FUND BALANCED;FRANCE;A
FR001400N9G6;M FUND BALANCED;FRANCE;BBB+
