PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Date J]
EXPORT_PRMP_ADP,2026-01-05T00:00:00,Groupe MH,MHRS,MRS2C,FR0011441583,LBPAM ISR Opti Euro Equity MH,2470.42,2025-12-31T00:00:00,P,18900,1,20728005,20728005.000000004,46690938,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,20728005.000000004,25962932.999999996,0,46690938,25962932.999999996,MHRS AG,Hors mandat MHRS AG,0,25962932.999999996,46690938,PP_FAC_Act,MHRS HM ACTIFS COTE,,
EXPORT_PRMP_ADP,2026-01-05T00:00:00,Groupe MH,QUATREM,QUA2A,LU2066074910,BDLCM Funds BDL Transition E Acc,157.11,2025-12-31T00:00:00,P,60511,1,8625843.05,8625843.05,9506883.21,PP,FC_Act_exEUR,PP_FAC_Taux_Gov,LU41,11008390,PP_FAC_Taux_Gov,8625843.05,881040.1600000001,0,9506883.21,881040.1600000001,QUATREM AG,Hors mandat QUATREM AG,0,881040.1600000001,9506883.21,PP_FAC_Taux,QUATREM HM ACT COTE,LEATTREU,2025-12-31T00:00:00
EXPORT_PRMP_ADP,2026-01-05T00:00:00,Groupe MH,MHP,MHP5F,FR0007053749,OSTRUM SRI CRDT ULTRA SHT PLSS,1746.96,2025-12-31T00:00:00,P,832,1,1329744,1329744,1453470.72,PP,FC_Taux_Entr,PP_FAC_Taux_Corp_IG,FR42,8297652,PP_FAC_Taux_Corp_IG,1329744,123726.71999999997,0,1453470.72,123726.71999999997,MHP AG,Hors mandat MHP AG,0,123726.71999999997,1453470.72,PP_FAC_Taux,MHP HM NANT GENERALI,LECPTREU,2025-12-31T00:00:00
EXPORT_PRMP_ADP,2026-01-05T00:00:00,Groupe MH,MHP,MHP5G,FR0007053749,OSTRUM SRI CRDT ULTRA SHT PLSS,1746.96,2025-12-31T00:00:00,P,669,1,,,1168716.24,PP,FC_Taux_Entr,PP_FAC_Taux_Corp_IG,FR42,8297652,PP_FAC_Taux_Corp_IG,1168716.24,0,0,1168716.24,0,MHP AG,Hors mandat MHP AG,0,0,1168716.24,PP_FAC_Taux,MHP HM NANT THELEM,LECPTREU,2025-12-31T00:00:00
EXPORT_PRMP_ADP,2026-01-05T00:00:00,Groupe MH,MHRS,MRS2C,FR0011527944,LBPAM SLECTION PRO RENDGLBLMH,1213.8,2025-12-30T00:00:00,P,3050,1,3050000,3050000,3702090,PP,FC_Taux_Entr,PP_FAC_Taux_Corp_IG,FR42,7240232,PP_FAC_Taux_Corp_IG,3050000,652090,0,3702090,652090,MHRS AG,Hors mandat MHRS AG,0,652090,3702090,PP_FAC_Taux,MHRS HM ACTIFS COTE,LECPTREU,2025-12-31T00:00:00
EXPORT_PRMP_ADP,2026-01-05T00:00:00,Groupe MH,MHRS,MRS2C,FR0011758044,LBPAM PRO ALTO M,1132.12,2025-12-31T00:00:00,P,9920,1,9602262.4,9602262.4,11230630.399999999,PP,FC_Div,PP_FAC_Taux_Corp_IG,FR42,5873495,PP_FAC_Taux_Corp_IG,9602262.4,1628367.9999999981,0,11230630.399999999,1628367.9999999981,MHRS AG,Hors mandat MHRS AG,0,1628367.9999999981,11230630.399999999,PP_FAC_Taux,MHRS HM ACTIFS COTE,LECPTREU,2025-12-31T00:00:00
EXPORT_PRMP_ADP,2026-01-05T00:00:00,Groupe MH,QUATREM,QUA2A,FR001400EBG6,MH Lazard Total Return,1133.15,2025-12-31T00:00:00,P,81307,1,83393623.56,83393623.56,92133027.05,PP,FC_Taux_Autre,PP_FAC_Taux_Autre,FR42,9745480,PP_FAC_Taux_Autre,83393623.56,8739403.489999995,0,92133027.05,8739403.489999995,QUATREM AG,Hors mandat QUATREM AG,0,8739403.489999995,92133027.05,PP_FAC_Taux,QUATREM HM ACT COTE,LECPTREU,2025-12-31T00:00:00
EXPORT_PRMP_ADP,2026-01-05T00:00:00,Groupe MH,MHP,MHP2C,FR0000986531,SELECTION VALEURS MOYENNES,952.76,2025-12-31T00:00:00,P,168110,1,138060805.9,138060805.9,160168483.6,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,138060805.9,22107677.699999988,0,160168483.6,22107677.699999988,MHP AG,Hors mandat MHP AG,0,22107677.699999988,160168483.6,PP_FAC_Act,MHP HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-05T00:00:00,Groupe MH,AUXIA,AUX2E,FR0010752865,COVEA PROFIL DYNAMIQUE D,117.7,2025-12-30T00:00:00,P,4224.5429,1,429905.1995132627,429905.1995132627,497228.7,PP,FC_Div,PP_FAC_Act_EUR_LC,FR41,8466180,PP_FAC_Act_EUR_LC,429905.1995132627,67323.50048673729,0,497228.7,67323.50048673729,AUXIA AG,Hors mandat AUXIA AG,0,67323.50048673729,497228.7,PP_FAC_Act,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-05T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4418.33,2025-12-31T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,39738460.02,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,19308289.71,0,39738460.02,19308289.71,AUXIA AG,Hors mandat AUXIA AG,0,19308289.71,39738460.02,PP_FAC_Act,AUXIA HM ACT COTE,,
