PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[PFMIndice.Date J]
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,MHP,MHP2C,FR0010831693,Ostrum SRI Cash Plus I C EUR,111202.85,2026-01-19T00:00:00,P,2156.5,1,239710342.73,239710342.73,239808946.03,PP,FC_Mon,PP_Mon_Fonds,FR43,4284156,PP_Mon_Fonds,239710342.73,98603.30000001192,Monetaire,0,239808946.03,98603.30000001192,MHP AG,Hors mandat MHP AG,0,98603.30000001192,239808946.03,PP_Mon_Fonds,MHP HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400IAW6,MH AMUNDI ACTIONS EURO C,1490.34,2026-01-19T00:00:00,P,13278,1000,13651228.329999998,13651228.329999998,19788734.52,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,10184067,PP_FAC_Act_EUR_LC,13651228.329999998,6137506.190000001,,0,19788734.52,6137506.190000001,AUXIA AG,Hors mandat AUXIA AG,0,6137506.190000001,19788734.52,PP_FAC_Act,AUXIA HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,AUXIA,AUX2E,LU1956164344,BNPP Rspnb US Mlt-Fac Eq I EUR Acc,223.68,2026-01-20T00:00:00,P,18400,1,3696560,3696560,4115712,PP,FC_Act_US,,LU41,11976073,PP_FAC_Act_EUR_LC,3696560,419152,,0,4115712,419152,AUXIA AG,Hors mandat AUXIA AG,0,419152,4115712,PP_FAC_Act,AUXIA HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,AUXIA,AUX2E,FR0010752865,COVEA PROFIL DYNAMIQUE D,120.67,2026-01-16T00:00:00,P,4224.5429,1,429905.1995132627,429905.1995132627,509775.59,PP,FC_Div,PP_FAC_Act_EUR_LC,FR41,8466180,PP_FAC_Act_EUR_LC,429905.1995132627,79870.3904867373,,0,509775.59,79870.3904867373,AUXIA AG,Hors mandat AUXIA AG,0,79870.3904867373,509775.59,PP_FAC_Act,AUXIA HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007045950,FEDERIS ISR EURO M,2453.61,2026-01-19T00:00:00,P,24261,1,20164514.099999998,20164514.099999998,59527032.21,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,20164514.099999998,39362518.11,,0,59527032.21,39362518.11,AUXIA AG,Hors mandat AUXIA AG,0,39362518.11,59527032.20999999,PP_FAC_Act,AUXIA HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2520.46,2026-01-19T00:00:00,P,7888,1,8412826.24,8412826.24,19881388.48,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,8412826.24,11468562.24,,0,19881388.48,11468562.24,AUXIA AG,Hors mandat AUXIA AG,0,11468562.24,19881388.48,PP_FAC_Act,AUXIA HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,467.63,2026-01-19T00:00:00,P,60537,1,11652333.39,11652333.39,28308917.31,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,16656583.919999998,,0,28308917.31,16656583.919999998,AUXIA AG,Hors mandat AUXIA AG,0,16656583.919999998,28308917.31,PP_FAC_Act,AUXIA HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6687.29,2026-01-19T00:00:00,P,840,1,1476258,1476258,5617323.6,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1476258,4141065.5999999996,,0,5617323.6,4141065.5999999996,AUXIA AG,Hors mandat AUXIA AG,0,4141065.5999999996,5617323.6,PP_FAC_Act,AUXIA HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3515.85,2026-01-19T00:00:00,P,2700,1,3878112,3878112,9492795,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,3878112,5614683,,0,9492795,5614683,AUXIA AG,Hors mandat AUXIA AG,0,5614683,9492795,PP_FAC_Act,AUXIA HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,994.21,2026-01-19T00:00:00,P,22218,1,8865004.54,8865004.54,22089357.779999997,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.54,13224353.239999998,,0,22089357.779999997,13224353.239999998,AUXIA AG,Hors mandat AUXIA AG,0,13224353.239999998,22089357.779999997,PP_FAC_Act,AUXIA HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4500.43,2026-01-16T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,40476867.419999994,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,20046697.109999992,,0,40476867.419999994,20046697.109999992,AUXIA AG,Hors mandat AUXIA AG,0,20046697.109999992,40476867.419999994,PP_FAC_Act,AUXIA HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007045950,FEDERIS ISR EURO M,2453.61,2026-01-19T00:00:00,P,940,1,1058205.11,1058205.11,2306393.4,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,1058205.11,1248188.2899999998,,0,2306393.4,1248188.2899999998,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,1248188.2899999998,2306393.4,PP_FAC_Act,AUXIA ASS HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6687.29,2026-01-19T00:00:00,P,80,1,354119.48,354119.48,534983.2,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,354119.48,180863.71999999997,,0,534983.2,180863.71999999997,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,180863.71999999997,534983.2,PP_FAC_Act,AUXIA ASS HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007074166,LBPAM ACTIONS VALUE EURO,3434.82,2026-01-19T00:00:00,P,360,1,482660.91,482660.91,1236535.2,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,482660.91,753874.29,,0,1236535.2,753874.29,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,753874.29,1236535.2,PP_FAC_Act,AUXIA ASS HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007078480,LBPAM ACTIONS EURO LARGE CAP M,4100.34,2026-01-19T00:00:00,P,459,1,824285.82,824285.82,1882056.06,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,4597012,PP_FAC_Act_EUR_LC,824285.82,1057770.2400000002,,0,1882056.06,1057770.2400000002,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,1057770.2400000002,1882056.06,PP_FAC_Act,AUXIA ASS HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0000986531,SELECTION VALEURS MOYENNES,994.21,2026-01-19T00:00:00,P,737,1,291444.63,291444.63,732732.77,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,291444.63,441288.14,,0,732732.77,441288.14,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,441288.14,732732.77,PP_FAC_Act,AUXIA ASS HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4500.43,2026-01-16T00:00:00,P,253,1,678111.42,678111.42,1138608.79,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,678111.42,460497.37,,0,1138608.79,460497.37,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,460497.37,1138608.79,PP_FAC_Act,AUXIA ASS HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007045950,FEDERIS ISR EURO M,2453.61,2026-01-19T00:00:00,P,810,1,684647.8,684647.8,1987424.1,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,684647.8,1302776.3,,0,1987424.1,1302776.3,CAPREVAL AG,batch,0,1302776.3,1987424.1,PP_FAC_Act,CAPREVAL HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007057674,FEDERIS ISR ACTIONS US MM,4500.43,2026-01-16T00:00:00,P,71,1,220418.58000000002,220418.58000000002,319530.53,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,220418.58000000002,99111.95000000001,,0,319530.53,99111.95000000001,CAPREVAL AG,batch,0,99111.95000000001,319530.53,PP_FAC_Act,CAPREVAL HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0000986531,SELECTION VALEURS MOYENNES,994.21,2026-01-19T00:00:00,P,1046,1,402464.80000000005,402464.8,1039943.66,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,402464.8,637478.8600000001,,0,1039943.66,637478.8600000001,CAPREVAL AG,batch,0,637478.8600000001,1039943.6600000001,PP_FAC_Act,CAPREVAL HM ACT COTE,
