PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name]
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,MHRS,MRS2C,FR0000986531,SELECTION VALEURS MOYENNES,993.29,2026-02-05T00:00:00,P,6580,1,1417462,1417462,6535848.2,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,1417462,5118386.2,M7EM,0.0091543503064717,6595679.643972723,5178217.643972723,MHRS AG,Hors mandat MHRS AG,0,5178217.643972723,6595679.643972723,2026-02-06T00:00:00,PP_FAC_Act,MHRS HM ACTIFS COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007475975,MH Lazard action euro LC,516.46,2026-02-05T00:00:00,P,114872.698,1,20164514.04732495,20164514.04732495,59327153.61,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,20164514.04732495,39162639.562675044,M7EM,0.0091543503064717,59870255.1568318,39705741.109506845,AUXIA AG,Hors mandat AUXIA AG,0,39705741.109506845,59870255.1568318,2026-02-06T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2519.38,2026-02-05T00:00:00,P,7888,1,8412826.24,8412826.24,19872869.44,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,8412826.24,11460043.200000001,M7EM,0.0091543503064717,20054792.648448538,11641966.408448538,AUXIA AG,Hors mandat AUXIA AG,0,11641966.408448538,20054792.648448538,2026-02-06T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,474.1,2026-02-05T00:00:00,P,60537,1,11652333.39,11652333.39,28700591.700000003,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,17048258.310000002,M7EM,0.0091543503064717,28963326.970424816,17310993.580424815,AUXIA AG,Hors mandat AUXIA AG,0,17310993.580424815,28963326.970424816,2026-02-06T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6583.53,2026-02-05T00:00:00,P,840,1,1476258,1476258,5530165.2,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1476258,4053907.2,M7EM,0.0091543503064717,5580790.26949346,4104532.2694934597,AUXIA AG,Hors mandat AUXIA AG,0,4104532.2694934597,5580790.26949346,2026-02-06T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,993.29,2026-02-05T00:00:00,P,22218,1,8865004.54,8865004.540000001,22068917.22,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.540000001,13203912.679999998,M7EM,0.0091543503064717,22270943.819116406,13405939.279116405,AUXIA AG,Hors mandat AUXIA AG,0,13405939.279116405,22270943.819116406,2026-02-06T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4277.02,2026-02-05T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,38467517.88,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,18037347.57,,0,38467517.88,18037347.57,AUXIA AG,Hors mandat AUXIA AG,0,18037347.57,38467517.88,,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400CCX3,GEMEQUITY PART MH,145.85,2026-02-05T00:00:00,P,10886,1,1080979.8,1080979.8,1587723.1,PP,FC_Act_Emerg,PP_FAC_Act_Eme,XL41,9588501,PP_FAC_Act_Eme,1080979.8,506743.30000000005,MSDEEEMN,-0.0030071907102066,1582948.5138432996,501968.71384329954,AUXIA AG,Hors mandat AUXIA AG,0,501968.71384329954,1582948.5138432996,2026-02-06T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA,AUX2E,LU2541301847,EdRF EM Climate Bonds S EUR H,108.54,2026-02-05T00:00:00,P,35239,1,3518261.7600000007,3518261.7600000002,3824841.06,PP,FC_Taux_Emerg,PP_FAC_Taux_Eme,LU42,11008396,PP_FAC_Taux_Eme,3518261.7600000002,306579.2999999998,,0,3824841.06,306579.2999999998,AUXIA AG,Hors mandat AUXIA AG,0,306579.2999999998,3824841.06,,PP_FAC_Taux,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007040365,MH EDRAM HYBRIDES CORPORATE,33846.2,2026-02-05T00:00:00,P,186,1,5000211.96,5000211.96,6295393.2,PP,FC_Taux_HY,PP_FAC_Taux_Corp_HY,XL42,1334621,PP_FAC_Taux_Corp_HY,5000211.96,1295181.2400000002,HE00,-0.000229861830306419,6293946.129396549,1293734.1693965495,AUXIA AG,Hors mandat AUXIA AG,0,1293734.1693965495,6293946.129396549,2026-02-06T00:00:00,PP_FAC_Taux,AUXIA HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0011758044,LBPAM PRO ALTO M,1137.79,2026-02-05T00:00:00,P,1153,1,1152877.74,1152877.74,1311871.87,PP,FC_Div,PP_FAC_Taux_Corp_IG,FR42,5873495,PP_FAC_Taux_Corp_IG,1152877.74,158994.13000000012,,0,1311871.87,158994.13000000012,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,158994.13000000012,1311871.87,,PP_FAC_Taux,AUXIA ASS HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0000986531,SELECTION VALEURS MOYENNES,993.29,2026-02-05T00:00:00,P,737,1,291444.63,291444.63,732054.73,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,291444.63,440610.1,M7EM,0.0091543503064717,738756.2154419295,447311.5854419295,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,447311.5854419295,738756.2154419295,2026-02-06T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6583.53,2026-02-05T00:00:00,P,80,1,354119.48,354119.48,526682.4,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,354119.48,172562.92000000004,M7EM,0.0091543503064717,531503.8351898533,177384.35518985335,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,177384.35518985335,531503.8351898533,2026-02-06T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007475975,MH Lazard action euro LC,516.46,2026-02-05T00:00:00,P,4450.77846,1,1058205.1096047643,1058205.1096047643,2298649.04,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,1058205.1096047643,1240443.9303952358,M7EM,0.0091543503064717,2319691.678543795,1261486.5689390306,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,1261486.5689390306,2319691.678543795,2026-02-06T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007074166,LBPAM ACTIONS VALUE EURO,3495.29,2026-02-05T00:00:00,P,360,1,482660.91000000003,482660.91000000003,1258304.4,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,482660.91000000003,775643.4899999999,M7EM,0.0091543503064717,1269823.3592697745,787162.4492697745,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,787162.4492697745,1269823.3592697745,2026-02-06T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007078480,LBPAM ACTIONS EURO LARGE CAP M,4131.4,2026-02-05T00:00:00,P,459,1,824285.82,824285.82,1896312.6,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,4597012,PP_FAC_Act_EUR_LC,824285.82,1072026.7800000003,M7EM,0.0091543503064717,1913672.1098309762,1089386.2898309762,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,1089386.2898309762,1913672.109830976,2026-02-06T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4277.02,2026-02-05T00:00:00,P,253,1,678111.4199999999,678111.4199999999,1082086.06,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,678111.4199999999,403974.64000000013,,0,1082086.06,403974.64000000013,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,403974.64000000013,1082086.06,,PP_FAC_Act,AUXIA ASS HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007040365,MH EDRAM HYBRIDES CORPORATE,33846.2,2026-02-05T00:00:00,P,10,1,302123.6,302123.6,338462,PP,FC_Taux_HY,PP_FAC_Taux_Corp_HY,XL42,1334621,PP_FAC_Taux_Corp_HY,302123.6,36338.40000000002,HE00,-0.000229861830306419,338384.2005051908,36260.60050519084,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,36260.60050519084,338384.2005051908,2026-02-06T00:00:00,PP_FAC_Taux,AUXIA ASS HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007022793,LBPAM ACTIONS EX-EURO-M,5346.34,2026-02-05T00:00:00,P,46,1,128144.68,128144.68,245931.64,PP,FC_Act_exEUR,PP_FAC_Act_ExEUR,FR41,5873215,PP_FAC_Act_ExEUR,128144.68,117786.96000000002,,0,245931.64,117786.96000000002,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,117786.96000000002,245931.64,,PP_FAC_Act,AUXIA ASS HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007079330,LBPAM SELECTION ACTIONS ASIE,5487.46,2026-02-05T00:00:00,P,21,1,67940.23,67940.23,115236.66,PP,FC_Act_AsPac,PP_FAC_Act_Asie,FR41,4622700,PP_FAC_Act_Asie,67940.23,47296.43000000001,MSDEPN,0.00386165211551382,115681.66389187376,47741.43389187376,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,47741.43389187376,115681.66389187376,2026-02-06T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007475975,MH Lazard action euro LC,516.46,2026-02-05T00:00:00,P,3835.246,1,684647.7968692987,684647.7968692987,1980751.15,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,684647.7968692987,1296103.3531307012,M7EM,0.0091543503064717,1998883.6398970466,1314235.843027748,CAPREVAL AG,batch,0,1314235.843027748,1998883.6398970466,2026-02-06T00:00:00,PP_FAC_Act,CAPREVAL HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,CAPREVAL,CAP2B,LU2541301847,EdRF EM Climate Bonds S EUR H,108.54,2026-02-05T00:00:00,P,1825,1,182208,182208,198085.5,PP,FC_Taux_Emerg,PP_FAC_Taux_Eme,LU42,11008396,PP_FAC_Taux_Eme,182208,15877.5,,0,198085.5,15877.5,CAPREVAL AG,batch,0,15877.5,198085.5,,PP_FAC_Taux,CAPREVAL HM ACT COTE
EXPORT_PRMP_ADP,2026-02-09T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR001400GS55,LBPAM ISR CONVS MONDE-MH,12552.86,2026-02-05T00:00:00,P,397,1,4136179.95,4136179.95,4983485.42,PP,FC_Conv_Monde,PP_FAC_Conv_Global,FR42,10056894,PP_FAC_Conv_Global,4136179.95,847305.4699999997,UCBIFX13,0.0059407579017045,5013091.100386894,876911.1503868941,CAPREVAL AG,batch,0,876911.1503868941,5013091.100386894,2026-02-06T00:00:00,PP_FAC_Conv,CAPREVAL HM ACT COTE
