PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2],PMVL[Holding date 31-12-2025],PMVL[Quantity 31-12-2025],PMVL[Purch. Val. (clean) (ptf cur.) 31-12-2025],PMVL[VNC Agrege dirty (ptf cur.) 31-12-2025],PMVL[PRMP MtM 31-12-2025],PMVL[PMVL 31-12-2025.1],PMVL[Variation PMVL],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)]
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,MHP,MHP2C,LU0104884605,PICTET WATER-I,651.65,2026-02-18T00:00:00,P,33430,1,21784659.5,PP,FC_Act_EUR,PP_FAC_Act_Global,LU44,1167622,PP_FAC_Act_Global,21784659.5,0,M7EM,0.012365689785888,22054041.841468196,269382.34146819636,MHP AG,Hors mandat MHP AG,0,269382.34146819636,22054041.841468196,2026-02-18T00:00:00,PP_FAC_Act,MHP HM ACT COTE,2026-02-19T00:00:00,2025-12-30T00:00:00,33430,18738199.8,18738199.8,20811177.9,2072978.0999999978,-2072978.0999999978,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,1012.55,2026-02-17T00:00:00,P,22218,1,22496835.900000002,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,22496835.900000002,0,M7EM,0.012365689785888,22775024.79390343,278188.8939034268,AUXIA AG,Hors mandat AUXIA AG,0,278188.8939034268,22775024.79390343,2026-02-18T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,22218,8865004.54,8865004.540000001,21083548.919999998,12218544.379999997,-12218544.379999997,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2551.79,2026-02-17T00:00:00,P,7888,1,20128519.52,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,20128519.52,0,M7EM,0.012365689785888,20377422.54823351,248903.0282335095,AUXIA AG,Hors mandat AUXIA AG,0,248903.0282335095,20377422.54823351,2026-02-18T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,7888,8412826.24,8412826.24,19385627.68,10972801.44,-10972801.44,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,477.75,2026-02-17T00:00:00,P,60537,1,28921551.75,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,28921551.75,0,M7EM,0.012365689785888,29279186.687067006,357634.9370670058,AUXIA AG,Hors mandat AUXIA AG,0,357634.9370670058,29279186.687067006,2026-02-18T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,60537,11652333.39,11652333.39,28795634.790000003,17143301.400000002,-17143301.400000002,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0000986531,SELECTION VALEURS MOYENNES,1012.55,2026-02-17T00:00:00,P,1046,1,1059127.3,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,1059127.3,0,M7EM,0.012365689785888,1072224.139635565,13096.839635564946,CAPREVAL AG,batch,0,13096.839635564946,1072224.139635565,2026-02-18T00:00:00,PP_FAC_Act,CAPREVAL HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,1046,402464.80000000005,402464.8,992591.24,590126.44,-590126.44,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6709.37,2026-02-17T00:00:00,P,840,1,5635870.8,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,5635870.8,0,M7EM,0.012365689785888,5705562.229986144,69691.42998614442,AUXIA AG,Hors mandat AUXIA AG,0,69691.42998614442,5705562.229986144,2026-02-18T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,1306,2295229.7,2295229.7,8444491.52,6149261.819999999,-6149261.819999999,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,EMUT,EMU2A,FR0000986531,SELECTION VALEURS MOYENNES,992.52,2026-02-17T00:00:00,P,119,1,118109.88,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,118109.88,0,M7EM,0.012365689785888,119570.39013672846,1460.5101367284515,EMUT AG,Hors mandat EMUT AG,0,1460.5101367284515,119570.39013672846,2026-02-18T00:00:00,PP_FAC_Act,EMUT HORS MDT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,119,102688.67,102688.67,111023.43,8334.759999999995,-8334.759999999995,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,INPR,INP2C,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3602.55,2026-02-17T00:00:00,P,3900,1,14049945,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,14049945,0,M7EM,0.012365689785888,14223682.261378787,173737.26137878746,INPR AG,Hors mandat INPR AG,0,173737.26137878746,14223682.261378787,2026-02-18T00:00:00,PP_FAC_Act,INPR HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,3900,5566093.5,5566093.5,13300872,7734778.5,-7734778.5,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,INPR,INP2C,FR0000986531,SELECTION VALEURS MOYENNES,1012.55,2026-02-17T00:00:00,P,9833,1,9956404.15,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,9956404.15,0,M7EM,0.012365689785888,10079521.955101827,123117.80510182679,INPR AG,Hors mandat INPR AG,0,123117.80510182679,10079521.955101827,2026-02-18T00:00:00,PP_FAC_Act,INPR HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,9833,4420615.980000001,4420615.98,9330927.02,4910311.039999999,-4910311.039999999,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,MHP,MHP1R,FR0000986531,SELECTION VALEURS MOYENNES,1012.55,2026-02-17T00:00:00,P,5400,1,5467770,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,5467770,0,M7EM,0.012365689785888,5535382.747640585,67612.7476405846,MHP PERE,Mandats LBPAM MHP PERE,0,67612.7476405846,5535382.747640585,2026-02-18T00:00:00,PP_FAC_Act,MHP PERE HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,5400,2432947.11,2432947.11,5124276,2691328.89,-2691328.89,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007079330,LBPAM SELECTION ACTIONS ASIE,5674.94,2026-02-17T00:00:00,P,18,1,102148.92,PP,FC_Act_AsPac,PP_FAC_Act_Asie,FR41,4622700,PP_FAC_Act_Asie,102148.92,0,MSDEPN,0.0073990774895802,102904.72777455693,755.8077745569317,CAPREVAL AG,batch,0,755.8077745569317,102904.72777455693,2026-02-18T00:00:00,PP_FAC_Act,CAPREVAL HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,18,39697.200000000004,39697.200000000004,93515.76,53818.55999999999,-53818.55999999999,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0011441583,LBPAM ISR Opti Euro Equity MH,2551.79,2026-02-17T00:00:00,P,206,1,525668.74,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,525668.74,0,M7EM,0.012365689785888,532168.9965689785,6500.256568978541,CAPREVAL AG,batch,0,6500.256568978541,532168.9965689785,2026-02-18T00:00:00,PP_FAC_Act,CAPREVAL HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,206,281586.38,281586.38,506267.66,224681.27999999997,-224681.27999999997,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007078480,LBPAM ACTIONS EURO LARGE CAP M,4187.34,2026-02-17T00:00:00,P,592,1,2478905.28,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,4597012,PP_FAC_Act_EUR_LC,2478905.28,0,M7EM,0.012365689785888,2509558.6537010795,30653.37370107975,CAPREVAL AG,batch,0,30653.37370107975,2509558.6537010795,2026-02-18T00:00:00,PP_FAC_Act,CAPREVAL HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,592,1027753.98,1027753.98,2357930.08,1330176.1,-1330176.1,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,MHP,MHP2C,FR0000986531,SELECTION VALEURS MOYENNES,1012.55,2026-02-17T00:00:00,P,168110,1,170219780.5,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,170219780.5,0,M7EM,0.012365689785888,172324665.50108492,2104885.0010849237,MHP AG,Hors mandat MHP AG,0,2104885.0010849237,172324665.50108492,2026-02-18T00:00:00,PP_FAC_Act,MHP HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,168110,138060805.9,138060805.9,159526303.4,21465497.5,-21465497.5,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,MUTUELLE MH,MMH2C,FR0000986531,SELECTION VALEURS MOYENNES,1012.55,2026-02-17T00:00:00,P,8102,1,8203680.1,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8203680.1,0,M7EM,0.012365689785888,8305124.263219262,101444.16321926191,MMH AG,Hors mandat MUTUELLE MH AG,0,101444.16321926191,8305124.263219262,2026-02-18T00:00:00,PP_FAC_Act,MHM HM ACTIFS COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,8102,5435895.159999999,5435895.159999999,7688311.88,2252416.7200000007,-2252416.7200000007,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,MUTUELLE MH,MMH2C,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3602.55,2026-02-17T00:00:00,P,402,1,1448225.1,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,1448225.1,0,M7EM,0.012365689785888,1466133.4023267366,17908.302326736506,MMH AG,Hors mandat MUTUELLE MH AG,0,17908.302326736506,1466133.4023267366,2026-02-18T00:00:00,PP_FAC_Act,MHM HM ACTIFS COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,940,1600257.28,1600257.28,3205851.2,1605593.9200000002,-1605593.9200000002,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,MHRS,MRS2F,FR0000986531,SELECTION VALEURS MOYENNES,1012.55,2026-02-17T00:00:00,P,546,1,552852.3,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,552852.3,0,M7EM,0.012365689785888,559688.7000392147,6836.400039214641,MHRS MICHELIN,Hors mandat MHRS MICHELIN,0,6836.400039214641,559688.7000392147,2026-02-18T00:00:00,PP_FAC_Act,MHRS MICHELIN HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,546,301354.45999999996,301354.45999999996,518121.24,216766.78000000003,-216766.78000000003,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,MUTUELLE MH,MMH2C,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6709.37,2026-02-17T00:00:00,P,299,1,2006101.63,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,2006101.63,0,M7EM,0.012365689785888,2030908.460435544,24806.83043554402,MMH AG,Hors mandat MUTUELLE MH AG,0,24806.83043554402,2030908.460435544,2026-02-18T00:00:00,PP_FAC_Act,MHM HM ACTIFS COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,299,1431845.22,1431845.22,1933310.08,501464.8600000001,-501464.8600000001,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,MUTUELLE MH,MMH2C,FR0014003QV0,LBPAM ISR ACTIONS ENVIRON-MH,14285.91,2026-02-17T00:00:00,P,475,1,6785807.25,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,9529463,PP_FAC_Act_EUR_LC,6785807.25,0,M7EM,0.012365689785888,6869718.437400329,83911.18740032893,MMH AG,Hors mandat MUTUELLE MH AG,0,83911.18740032893,6869718.437400329,2026-02-18T00:00:00,PP_FAC_Act,MHM HM ACTIFS COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,475,4750000,4750000,6228466,1478466,-1478466,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,MUTUELLE MH,MMH2C,FR0011441583,LBPAM ISR Opti Euro Equity MH,2551.79,2026-02-17T00:00:00,P,10935,1,27903823.650000002,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,27903823.650000002,0,M7EM,0.012365689785888,28248873.677096024,345050.0270960219,MMH AG,Hors mandat MUTUELLE MH AG,0,345050.0270960219,28248873.677096024,2026-02-18T00:00:00,PP_FAC_Act,MHM HM ACTIFS COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,10935,16705930.200000001,16705930.200000001,26873965.35,10168035.15,-10168035.15,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,EMUT,EMU2A,FR0010702084,INSERTION EMP DYN RC,247.78,2026-02-17T00:00:00,P,361.7122,1,89625.05,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,3030930,PP_FAC_Act_EUR_LC,89625.05,0,M7EM,0.012365689785888,90733.3255653447,1108.2755653446948,EMUT AG,Hors mandat EMUT AG,0,1108.2755653446948,90733.3255653447,2026-02-18T00:00:00,PP_FAC_Act,EMUT HORS MDT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,361.7122,70081.9999062084,70081.9999062084,89075.25,18993.250093791605,-18993.250093791605,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,INPR,INP2C,FR0007074166,LBPAM ACTIONS VALUE EURO,3494.88,2026-02-17T00:00:00,P,4166,1,14559670.08,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,14559670.08,0,M7EM,0.012365689785888,14739710.443594154,180040.3635941539,INPR AG,Hors mandat INPR AG,0,180040.3635941539,14739710.443594154,2026-02-18T00:00:00,PP_FAC_Act,INPR HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,4166,4766835.38,4766835.38,14200602.540000001,9433767.16,-9433767.16,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,INPR,INP2C,FR0007021936,FEDERIS ISR FRANCE MH,477.75,2026-02-17T00:00:00,P,11000,1,5255250,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,5255250,0,M7EM,0.012365689785888,5320234.791247288,64984.791247287765,INPR AG,Hors mandat INPR AG,0,64984.791247287765,5320234.791247288,2026-02-18T00:00:00,PP_FAC_Act,INPR HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,11000,1414820,1414820,5232370,3817550,-3817550,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,INPR,INP2C,FR0007079330,LBPAM SELECTION ACTIONS ASIE,5674.94,2026-02-17T00:00:00,P,1375,1,7803042.5,PP,FC_Act_AsPac,PP_FAC_Act_Asie,FR41,4622700,PP_FAC_Act_Asie,7803042.5,0,MSDEPN,0.0073990774895802,7860777.816111988,57735.31611198839,INPR AG,Hors mandat INPR AG,0,57735.31611198839,7860777.816111988,2026-02-18T00:00:00,PP_FAC_Act,INPR HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,1375,2073007.1999999997,2073007.1999999997,7143565,5070557.800000001,-5070557.800000001,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,INPR,INP2C,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6709.37,2026-02-17T00:00:00,P,700,1,4696559,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,4696559,0,M7EM,0.012365689785888,4754635.19165512,58076.19165511988,INPR AG,Hors mandat INPR AG,0,58076.19165511988,4754635.19165512,2026-02-18T00:00:00,PP_FAC_Act,INPR HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,940,3404388,3404388,6077964.8,2673576.8,-2673576.8,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,INPR,INP2C,FR0007078480,LBPAM ACTIONS EURO LARGE CAP M,4187.34,2026-02-17T00:00:00,P,8401,1,35177843.339999996,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,4597012,PP_FAC_Act_EUR_LC,35177843.339999996,0,M7EM,0.012365689785888,35612841.638079,434998.2980790064,INPR AG,Hors mandat INPR AG,0,434998.2980790064,35612841.638079,2026-02-18T00:00:00,PP_FAC_Act,INPR HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,8401,13176640.459999999,13176640.459999999,33461098.99,20284458.53,-20284458.53,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,MHP,MHP1R,FR0011441583,LBPAM ISR Opti Euro Equity MH,2551.79,2026-02-17T00:00:00,P,1546,1,3945067.34,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,3945067.34,0,M7EM,0.012365689785888,3993850.8189108777,48783.478910877835,MHP PERE,Mandats LBPAM MHP PERE,0,48783.478910877835,3993850.8189108777,2026-02-18T00:00:00,PP_FAC_Act,MHP PERE HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,1546,1578280.6199999999,1578280.6199999999,3799465.06,2221184.4400000004,-2221184.4400000004,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,MHP,MHP1R,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6709.37,2026-02-17T00:00:00,P,932,1,6253132.84,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,6253132.84,0,M7EM,0.012365689785888,6330457.1408893885,77324.30088938866,MHP PERE,Mandats LBPAM MHP PERE,0,77324.30088938866,6330457.1408893885,2026-02-18T00:00:00,PP_FAC_Act,MHP PERE HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,932,2417368.6799999997,2417368.6799999997,6026237.44,3608868.7600000007,-3608868.7600000007,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,MHP,MHP2C,FR0007475975,MH Lazard action euro LC,515.39,2026-02-17T00:00:00,P,1903737.57234,1,981167307.41,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,981167307.41,0,M7EM,0.012365689785888,993300117.9614869,12132810.551486969,MHP AG,Hors mandat MHP AG,0,12132810.551486969,993300117.9614869,2026-02-18T00:00:00,PP_FAC_Act,MHP HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,823202.19834,220965165.41304103,220965165.41304103,413947225.44,192982060.02695897,-192982060.02695897,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,MHRS,MRS2F,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6709.37,2026-02-17T00:00:00,P,58,1,389143.46,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,389143.46,0,M7EM,0.012365689785888,393955.4873085671,4812.027308567078,MHRS MICHELIN,Hors mandat MHRS MICHELIN,0,4812.027308567078,393955.4873085671,2026-02-18T00:00:00,PP_FAC_Act,MHRS MICHELIN HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,58,193215.49,193215.49,375023.36,181807.87,-181807.87,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,MHRS,MRS2F,FR0011441583,LBPAM ISR Opti Euro Equity MH,2551.79,2026-02-17T00:00:00,P,250,1,637947.5,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,637947.5,0,M7EM,0.012365689785888,645836.1608846828,7888.660884682788,MHRS MICHELIN,Hors mandat MHRS MICHELIN,0,7888.660884682788,645836.1608846828,2026-02-18T00:00:00,PP_FAC_Act,MHRS MICHELIN HM ACT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,250,363715.32999999996,363715.32999999996,614402.5,250687.17000000004,-250687.17000000004,,
EXPORT_PRMP_ADP,2026-02-19T00:00:00,Groupe MH,EMUT,EMU2A,FR0013230042,Tocqueville Euro Equity Value SRI GP,180.93,2026-02-17T00:00:00,P,1064,1,192509.52,PP,FC_Act_EUR,,FR41,12238661,PP_FAC_Act_EUR_LC,192509.52,0,M7EM,0.012365689785888,194890.03300515018,2380.513005150191,EMUT AG,Hors mandat EMUT AG,0,2380.513005150191,194890.03300515018,2026-02-18T00:00:00,PP_FAC_Act,EMUT HORS MDT COTE,2026-02-19T00:00:00,2025-12-31T00:00:00,1064,168303.52000000002,168303.52000000002,183731.52,15427.99999999997,-15427.99999999997,,
