PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2],PMVL[Ref Unik Asset]
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,INPR,INP2C,FR0011034560,EDR FINANCIAL BDS S,1469.39,2026-03-20T00:00:00,P,326,1,355737.72000000003,355737.72000000003,479021.14,PP,PP_FAC_Taux_Corp_HY,FR42,4879142,PP_FAC_Taux_Corp_HY,355737.72000000003,123283.41999999998,LECPTREU,-0.00348837033211832,477350.1368667665,121612.41686676646,INPR AG,Hors mandat INPR AG,0,121612.41686676646,477350.1368667665,2026-03-20T00:00:00,PP_FAC_Taux,INPR HM ACT COTE,2026-03-24T00:00:00,FC_Taux_Autre
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3284.92,2026-03-20T00:00:00,P,1300,1,2478112,2478112,4270396,PP,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,2478112,1792284,M7EM,0.0107658220656743,4316370.323485968,1838258.3234859677,AUXIA AG,Hors mandat AUXIA AG,0,1838258.3234859677,4316370.323485968,2026-03-23T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007475975,MH Lazard action euro LC,472.07,2026-03-20T00:00:00,P,114872.6982,1,20164514.04732495,20164514.04732495,54227954.64,PP,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,20164514.04732495,34063440.592675045,M7EM,0.0107658220656743,54811763.1506397,34647249.10331474,AUXIA AG,Hors mandat AUXIA AG,0,34647249.10331474,54811763.1506397,2026-03-23T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,438.05,2026-03-20T00:00:00,P,60537,1,11652333.39,11652333.39,26518232.849999998,PP,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,14865899.459999997,M7EM,0.0107658220656743,26803723.426359218,15151390.036359217,AUXIA AG,Hors mandat AUXIA AG,0,15151390.036359217,26803723.426359218,2026-03-23T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6057.46,2026-03-20T00:00:00,P,840,1,1476258,1476258,5088266.4,PP,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1476258,3612008.4000000004,M7EM,0.0107658220656743,5143045.770685149,3666787.7706851494,AUXIA AG,Hors mandat AUXIA AG,0,3666787.7706851494,5143045.770685149,2026-03-23T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,922.52,2026-03-20T00:00:00,P,22218,1,8865004.540000001,8865004.540000001,20496549.36,PP,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.540000001,11631544.819999998,M7EM,0.0107658220656743,20717211.56337007,11852207.02337007,AUXIA AG,Hors mandat AUXIA AG,0,11852207.02337007,20717211.56337007,2026-03-23T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4273.9,2026-03-20T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,38439456.6,PP,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,18009286.29,,0,38439456.6,18009286.29,AUXIA AG,Hors mandat AUXIA AG,0,18009286.29,38439456.6,,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-24T00:00:00,FC_Act_US
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400CCX3,GEMEQUITY PART MH,144.67,2026-03-20T00:00:00,P,10886,1,1080979.8,1080979.8,1574877.62,PP,PP_FAC_Act_Eme,XL41,9588501,PP_FAC_Act_Eme,1080979.8,493897.82000000007,MSDEEEMN,-0.0329938287244547,1522916.3775437432,441936.5775437432,AUXIA AG,Hors mandat AUXIA AG,0,441936.5775437432,1522916.3775437432,2026-03-23T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-24T00:00:00,FC_Act_Emerg
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400IAY2,MH AMUNDI ACTIONS EUROPE EX EURO,1310.34,2026-03-20T00:00:00,P,2489,1000,2528326.1999999997,2528326.1999999997,3261436.26,PP,PP_FAC_Act_ExEUR,FR41,10187321,PP_FAC_Act_ExEUR,2528326.1999999997,733110.06,,0,3261436.26,733110.06,AUXIA AG,Hors mandat AUXIA AG,0,733110.06,3261436.26,,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-24T00:00:00,FC_Act_exEUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0000986531,SELECTION VALEURS MOYENNES,922.52,2026-03-20T00:00:00,P,737,1,291444.63,291444.63,679897.24,PP,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,291444.63,388452.61,M7EM,0.0107658220656743,687216.892708783,395772.26270878303,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,395772.26270878303,687216.892708783,2026-03-23T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
