PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2],PMVL[Ref Unik Asset],PMVL[Flag Fonds Dedie],PMVL[PFMIndice.Perf J / J-1]
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,QUATREM,QUA2A,LU0970532437,LFAM MULTI OBLIG I CAP,1141.01,2026-03-24T00:00:00,P,0.0019999999999527063,1,2.44,2.44,2.28,PP,PP_FAC_Taux_Gov,LU42,4564784,PP_FAC_Taux_Gov,2.44,-0.16000000000000014,LEATTREU,2.2765273886854365,-0.16347261131456348,QUATREM AG,Hors mandat QUATREM AG,0,-0.16347261131456348,2.2765273886854365,2026-03-24T00:00:00,PP_FAC_Taux,QUATREM HM ACT COTE,2026-03-26T00:00:00,FC_Taux_Souv,Vrai,-0.00152307513796634
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,CMAV,CMA2C,FR0007475975,MH Lazard action euro LC,475.93,2026-03-24T00:00:00,P,2793.57371,1,525483.4981946029,525483.4981946029,1329545.54,PP,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,525483.4981946029,804062.0418053971,M7EM,1348403.284729923,822919.78653532,CMAV AG,Hors mandat CMAV AG,0,822919.78653532,1348403.284729923,2026-03-25T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-26T00:00:00,FC_Act_EUR,Vrai,0.0141836019621584
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,CMAV,CMA2C,FR0011034560,EDR FINANCIAL BDS S,1467.85,2026-03-24T00:00:00,P,3582,1,3500473.6799999997,3500473.68,5257838.7,PP,PP_FAC_Taux_Corp_HY,FR42,4879142,PP_FAC_Taux_Corp_HY,3500473.68,1757365.02,LECPTREU,5254006.362941276,1753532.682941276,CMAV AG,Hors mandat CMAV AG,0,1753532.682941276,5254006.362941276,2026-03-24T00:00:00,PP_FAC_Taux,CMAV HM ACT COTE,2026-03-26T00:00:00,FC_Taux_Autre,Vrai,-0.000728880682232346
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,CMAV,CMA2C,FR0000986531,SELECTION VALEURS MOYENNES,928.64,2026-03-24T00:00:00,P,13420,1,4747876,4747876,12462348.8,PP,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,4747876,7714472.800000001,M7EM,12639109.794892782,7891233.794892782,CMAV AG,Hors mandat CMAV AG,0,7891233.794892782,12639109.794892782,2026-03-25T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-26T00:00:00,FC_Act_EUR,Vrai,0.0141836019621584
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,CMAV,CMA2C,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6150.73,2026-03-24T00:00:00,P,390,1,1005206,1005206,2398784.7,PP,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1005206,1393578.7000000002,M7EM,2432808.107377716,1427602.1073777159,CMAV AG,Hors mandat CMAV AG,0,1427602.1073777159,2432808.107377716,2026-03-25T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-26T00:00:00,FC_Act_EUR,Vrai,0.0141836019621584
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,CMAV,CMA2C,FR0007074166,LBPAM ACTIONS VALUE EURO,3247.62,2026-03-24T00:00:00,P,430,1,659705.0000000001,659705,1396476.6,PP,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,659705,736771.6000000001,M7EM,1416283.6682438683,756578.6682438683,CMAV AG,Hors mandat CMAV AG,0,756578.6682438683,1416283.6682438683,2026-03-25T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-26T00:00:00,FC_Act_EUR,Vrai,0.0141836019621584
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,CMAV,CMA2C,FR0007040365,MH EDRAM HYBRIDES CORPORATE,33191.79,2026-03-24T00:00:00,P,177,1,4942262.46,4942262.46,5874946.83,PP,PP_FAC_Taux_Corp_HY,XL42,1334621,PP_FAC_Taux_Corp_HY,4942262.46,932684.3700000001,HE00,5896523.067643937,954260.6076439368,CMAV AG,Hors mandat CMAV AG,0,954260.6076439368,5896523.067643937,2026-03-25T00:00:00,PP_FAC_Taux,CMAV HM ACT COTE,2026-03-26T00:00:00,FC_Taux_HY,Vrai,0.00367258432599934
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,CMAV,CMA2C,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3308.63,2026-03-24T00:00:00,P,180,1,319125.60000000003,319125.60000000003,595553.4,PP,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,319125.60000000003,276427.8,M7EM,604000.4923728101,284874.8923728101,CMAV AG,Hors mandat CMAV AG,0,284874.8923728101,604000.4923728101,2026-03-25T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-26T00:00:00,FC_Act_EUR,Vrai,0.0141836019621584
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3308.63,2026-03-24T00:00:00,P,1300,1,2478112,2478112,4301219,PP,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,2478112,1823107,M7EM,4362225.778248073,1884113.7782480726,AUXIA AG,Hors mandat AUXIA AG,0,1884113.7782480726,4362225.778248073,2026-03-25T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-26T00:00:00,FC_Act_EUR,Vrai,0.0141836019621584
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007475975,MH Lazard action euro LC,475.93,2026-03-24T00:00:00,P,114872.6982,1,20164514.04732495,20164514.04732495,54671363.25,PP,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,20164514.04732495,34506849.202675045,M7EM,55446800.105066575,35282286.05774163,AUXIA AG,Hors mandat AUXIA AG,0,35282286.05774163,55446800.10506658,2026-03-25T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-26T00:00:00,FC_Act_EUR,Vrai,0.0141836019621584
