PMVL[Holding date],PMVL[GROUPE],PMVL[Quote],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Parametres_Indices.TICKER],PRMP_PMVL_future,target
2026-01-05,Groupe MH,23237.59,P,228.0,1,2306420.67,2306420.67,5298170.52,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,2991749.85,0.0,5298170.52,2991749.85,AUXIA AG,Hors mandat AUXIA AG,0.0,2991749.85,5298170.52,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,2991749.85,True
2026-01-06,Groupe MH,23237.59,P,228.0,1,2306420.67,2306420.67,5298170.52,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,2991749.85,0.0,5298170.52,2991749.85,AUXIA AG,Hors mandat AUXIA AG,0.0,2991749.85,5298170.52,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,2991749.85,True
2026-01-07,Groupe MH,23237.59,P,228.0,1,2306420.67,2306420.67,5298170.52,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,2991749.85,0.0,5298170.52,2991749.85,AUXIA AG,Hors mandat AUXIA AG,0.0,2991749.85,5298170.52,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-08,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-14,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-15,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-16,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,0.0,False
2026-01-19,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,5368939.44,0.0,0.0,5368939.44,0.0,AUXIA AG,Hors mandat AUXIA AG,0.0,0.0,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,False
2026-01-20,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-21,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-22,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-23,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-26,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-27,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-01-28,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,0.0,False
2026-01-29,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,5368939.44,0.0,0.0,5368939.44,0.0,AUXIA AG,Hors mandat AUXIA AG,0.0,0.0,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,False
2026-01-30,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-02-02,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-02-03,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-02-04,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-02-06,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3062518.7700000005,True
2026-02-09,Groupe MH,23547.98,P,228.0,1,2306420.67,2306420.67,5368939.44,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3062518.7700000005,0.0,5368939.44,3062518.7700000005,AUXIA AG,Hors mandat AUXIA AG,0.0,3062518.7700000005,5368939.44,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3110950.5300000003,True
2026-02-10,Groupe MH,23760.4,P,228.0,1,2306420.67,2306420.67,5417371.2,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3110950.5300000003,0.0,5417371.2,3110950.5300000003,AUXIA AG,Hors mandat AUXIA AG,0.0,3110950.5300000003,5417371.2,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3110950.5300000003,True
2026-02-11,Groupe MH,23760.4,P,228.0,1,2306420.67,2306420.67,5417371.2,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3110950.5300000003,0.0,5417371.2,3110950.5300000003,AUXIA AG,Hors mandat AUXIA AG,0.0,3110950.5300000003,5417371.2,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,3110950.5300000003,True
2026-02-17,Groupe MH,23760.4,P,228.0,1,2306420.67,2306420.67,5417371.2,PP,FC_Div,XL44,4622726,PP_FAC_Act_EUR_MULTI,2306420.67,3110950.5300000003,0.0,5417371.2,3110950.5300000003,AUXIA AG,Hors mandat AUXIA AG,0.0,3110950.5300000003,5417371.2,PP_FAC_Act,AUXIA HM ACT NC,pas de ticker,0.0,False
