PMVL[Holding date],PMVL[ENTITE],PMVL[ISIN],PMVL[Orig. name],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[PRMP PMVL],PMVL[PRMP VNC],PMVL[PRMP MtM],PMVL[Ref Unik Asset],PMVL[Selected Fund code],PMVL[3A],PMVL[CANTON],PMVL[CIC],PMVL[GROUPE],PMVL[Ptf name],PMVL[Quantity],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[Quote Date],PMVL[Quote],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PMVL Estimé],PRMP_PMVL_future,target
2025-12-31,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,2991749.8499999996,2306420.67,5298170.52,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-11-21T00:00:00,23237.59,2306420.67,2991749.8499999996,2991749.8499999996,True
2026-01-01,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,2991749.8499999996,2306420.67,5298170.52,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-11-21T00:00:00,23237.59,2306420.67,2991749.8499999996,2991749.8499999996,True
2026-01-02,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,2991749.8499999996,2306420.67,5298170.52,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-11-21T00:00:00,23237.59,2306420.67,2991749.8499999996,2991749.8499999996,True
2026-01-05,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,2991749.8499999996,2306420.67,5298170.52,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-11-21T00:00:00,23237.59,2306420.67,2991749.8499999996,2991749.8499999996,True
2026-01-06,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,2991749.8499999996,2306420.67,5298170.52,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-11-21T00:00:00,23237.59,2306420.67,2991749.8499999996,2991749.8499999996,True
2026-01-07,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,2991749.8499999996,2306420.67,5298170.52,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-11-21T00:00:00,23237.59,2306420.67,2991749.8499999996,3062518.7700000005,True
2026-01-08,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,3062518.7700000005,2306420.67,5368939.44,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-12-29T00:00:00,23547.98,2306420.67,3062518.7700000005,3062518.7700000005,True
2026-01-14,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,3062518.7700000005,2306420.67,5368939.44,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-12-29T00:00:00,23547.98,2306420.67,3062518.7700000005,3062518.7700000005,True
2026-01-15,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,3062518.7700000005,2306420.67,5368939.44,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-12-29T00:00:00,23547.98,2306420.67,3062518.7700000005,3062518.7700000005,True
2026-01-16,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,3062518.7700000005,2306420.67,5368939.44,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-12-29T00:00:00,23547.98,2306420.67,3062518.7700000005,3062518.7700000005,True
2026-01-20,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,3062518.7700000005,2306420.67,5368939.44,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-12-29T00:00:00,23547.98,2306420.67,3062518.7700000005,3062518.7700000005,True
2026-01-21,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,3062518.7700000005,2306420.67,5368939.44,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-12-29T00:00:00,23547.98,2306420.67,3062518.7700000005,3062518.7700000005,True
2026-01-22,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,3062518.7700000005,2306420.67,5368939.44,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-12-29T00:00:00,23547.98,2306420.67,3062518.7700000005,3062518.7700000005,True
2026-01-23,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,3062518.7700000005,2306420.67,5368939.44,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-12-29T00:00:00,23547.98,2306420.67,3062518.7700000005,3062518.7700000005,True
2026-01-26,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,3062518.7700000005,2306420.67,5368939.44,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-12-29T00:00:00,23547.98,2306420.67,3062518.7700000005,3062518.7700000005,True
2026-01-27,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,3062518.7700000005,2306420.67,5368939.44,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-12-29T00:00:00,23547.98,2306420.67,3062518.7700000005,3062518.7700000005,True
2026-01-28,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,3062518.7700000005,2306420.67,5368939.44,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-12-29T00:00:00,23547.98,2306420.67,3062518.7700000005,3062518.7700000005,True
2026-01-30,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,3062518.7700000005,2306420.67,5368939.44,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-12-29T00:00:00,23547.98,2306420.67,3062518.7700000005,3062518.7700000005,True
2026-02-02,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,3062518.7700000005,2306420.67,5368939.44,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-12-29T00:00:00,23547.98,2306420.67,3062518.7700000005,3062518.7700000005,True
2026-02-03,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,3062518.7700000005,2306420.67,5368939.44,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-12-29T00:00:00,23547.98,2306420.67,3062518.7700000005,3062518.7700000005,True
2026-02-04,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,3062518.7700000005,2306420.67,5368939.44,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-12-29T00:00:00,23547.98,2306420.67,3062518.7700000005,3062518.7700000005,True
2026-02-06,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,3062518.7700000005,2306420.67,5368939.44,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-12-29T00:00:00,23547.98,2306420.67,3062518.7700000005,3062518.7700000005,True
2026-02-09,AUXIA,FR0011662014,MM STRATIC,pas de ticker,0.0,3062518.7700000005,2306420.67,5368939.44,FC_Div,AUX2A,Hors mandat AUXIA AG,AUXIA AG,XL44,Groupe MH,AUXIA HM ACT NC,228.0,2306420.67,2025-12-29T00:00:00,23547.98,2306420.67,3062518.7700000005,3110950.5300000003,True
