iter	Logloss
0	0.64208075
1	0.5970067567
2	0.5618654014
3	0.5295481062
4	0.5024696519
5	0.4804302497
6	0.4591455203
7	0.4448977652
8	0.4273739397
9	0.4129592635
10	0.4047643902
11	0.3960413835
12	0.3869763747
13	0.3788880535
14	0.3705958203
15	0.3618013005
16	0.3558384723
17	0.3491244185
18	0.3434710855
19	0.3386030474
20	0.3328298266
21	0.3287085213
22	0.3250527377
23	0.3206945214
24	0.316799654
25	0.3131788351
26	0.3106541653
27	0.3075378872
28	0.3050925069
29	0.3025889499
30	0.3004320744
31	0.2984090911
32	0.2958886395
33	0.2948103319
34	0.2924794795
35	0.2904083032
36	0.2879693784
37	0.2864683629
38	0.2848220546
39	0.2829293625
40	0.2814843118
41	0.2798127663
42	0.2783992113
43	0.2774600169
44	0.2759778671
45	0.2751893953
46	0.2742493579
47	0.2730045125
48	0.2715645337
49	0.2706682214
50	0.2696272303
51	0.2687723862
52	0.2682014432
53	0.2670525877
54	0.2663846076
55	0.2657477418
56	0.2644895595
57	0.263380541
58	0.2621342061
59	0.2613504972
60	0.2603416592
61	0.2590858507
62	0.2582320807
63	0.2574196941
64	0.2570040472
65	0.2561582382
66	0.2558386922
67	0.2552127881
68	0.2546196733
69	0.2540034594
70	0.2533540466
71	0.2528192624
72	0.2523288376
73	0.2518616289
74	0.2514263005
75	0.2509220371
76	0.2504220804
77	0.2499304261
78	0.249445053
79	0.2489176744
80	0.2482777636
81	0.2473744428
82	0.2469157605
83	0.2463245857
84	0.2457778291
85	0.2451548538
86	0.2447230251
87	0.2439930317
88	0.2438130044
89	0.2433735437
90	0.2429647519
91	0.2424154662
92	0.2418743782
93	0.2414498654
94	0.2410488105
95	0.2405040538
96	0.2400646041
97	0.2397152292
98	0.2392179557
99	0.2388670069
100	0.238285051
101	0.2379701395
102	0.2373228591
103	0.2366884185
104	0.2363037756
105	0.2356965681
106	0.2350130552
107	0.2344000054
108	0.2342220658
109	0.2338177746
110	0.2334383323
111	0.2329033858
112	0.2323505198
113	0.231565771
114	0.2313801572
115	0.2310787404
116	0.2305377136
117	0.2302805474
118	0.229918178
119	0.2292535325
120	0.2288415296
121	0.2286312014
122	0.2282710324
123	0.2279665555
124	0.2276570143
125	0.2274732002
126	0.2273358358
127	0.226809431
128	0.2264330352
129	0.2260895176
130	0.2257804662
131	0.2253417348
