iter	Passed	Remaining
0	114	52155
1	204	46330
2	307	46450
3	407	46018
4	526	47453
5	628	47166
6	737	47295
7	841	47133
8	932	46320
9	1027	45846
10	1114	45078
11	1219	45111
12	1319	44957
13	1413	44613
14	1504	44218
15	1594	43850
16	1691	43690
17	1790	43561
18	1895	43603
19	1992	43425
20	2088	43254
21	2180	43006
22	2264	42626
23	2359	42470
24	2441	42088
25	2538	41989
26	2623	41691
27	2716	41522
28	2809	41360
29	2898	41154
30	2990	41000
31	3072	40716
32	3159	40494
33	3249	40328
34	3333	40097
35	3420	39907
36	3510	39755
37	3599	39592
38	3689	39446
39	3775	39262
40	3866	39136
41	3946	38901
42	4037	38775
43	4128	38659
44	4226	38603
45	4325	38549
46	4413	38402
47	4502	38274
48	4585	38091
49	4675	37961
50	4767	37862
51	4868	37822
52	4968	37779
53	5061	37680
54	5153	37574
55	5249	37495
56	5340	37384
57	5435	37297
58	5533	37236
59	5634	37188
60	5721	37051
61	5811	36932
62	5900	36806
63	5996	36730
64	6094	36658
65	6191	36586
66	6287	36505
67	6454	36829
68	6560	36795
69	6656	36707
70	6752	36618
71	6853	36552
72	6945	36439
73	7040	36345
74	7135	36246
75	7231	36155
76	7339	36126
77	7435	36034
78	7528	35925
79	7621	35822
80	7714	35717
81	7811	35629
82	7904	35524
83	7994	35404
84	8082	35276
85	8179	35191
86	8274	35094
87	8372	35013
88	8481	34975
89	8589	34928
90	8680	34816
91	8774	34716
92	8873	34635
93	8963	34517
94	9056	34415
95	9145	34294
96	9237	34188
97	9335	34104
98	9428	33998
99	9511	33862
100	9603	33753
101	9685	33614
102	9780	33517
103	9875	33424
104	9968	33322
105	10070	33251
106	10163	33150
107	10267	33083
108	10363	32993
109	10458	32898
110	10555	32806
111	10659	32738
112	10755	32646
113	10846	32540
114	10932	32418
115	11018	32294
116	11103	32172
117	11186	32042
118	11276	31934
119	11360	31808
120	11447	31693
121	11537	31585
122	11627	31480
123	11713	31362
124	11808	31267
125	11906	31183
126	11995	31074
127	12080	30955
128	12164	30836
129	12251	30722
130	12336	30605
131	12420	30487
132	12504	30368
133	12587	30246
134	12730	30271
135	12819	30163
136	12911	30064
137	13010	29979
138	13095	29865
139	13183	29757
140	13269	29643
141	13360	29543
142	13446	29432
143	13541	29340
144	13634	29243
145	13720	29131
146	13804	29017
147	13890	28906
148	13987	28819
149	14080	28724
150	14168	28619
151	14261	28522
152	14354	28426
153	14444	28326
154	14523	28204
155	14609	28094
156	14707	28010
157	14810	27933
158	14923	27875
159	15031	27807
160	15125	27714
161	15213	27609
162	15318	27535
163	15426	27466
164	15522	27375
165	15625	27296
166	15731	27224
167	15836	27147
168	15929	27052
169	16022	26954
170	16112	26854
171	16196	26742
172	16291	26650
173	16381	26548
174	16468	26443
175	16550	26330
176	16639	26228
177	16731	26130
178	16826	26038
179	16915	25936
180	17009	25843
181	17108	25756
182	17204	25665
183	17295	25567
184	17382	25463
185	17467	25355
186	17556	25255
187	17646	25155
188	17739	25060
189	17830	24962
190	17928	24874
191	18038	24803
192	18153	24738
193	18239	24632
194	18335	24541
195	18436	24456
196	18537	24371
197	18627	24271
198	18720	24176
199	18811	24079
200	18905	23984
201	18994	23884
202	19087	23788
203	19192	23708
204	19286	23613
205	19378	23518
206	19484	23437
207	19569	23332
208	19650	23222
209	19736	23120
210	19821	23015
211	19908	22913
212	19993	22809
213	20075	22702
214	20152	22589
215	20239	22488
216	20324	22384
217	20410	22283
218	20496	22181
219	20589	22086
220	20673	21983
221	20759	21881
222	20840	21774
223	20927	21674
224	21012	21573
225	21111	21485
226	21196	21382
227	21293	21293
228	21405	21218
