threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample,avg_cost_fp,avg_cost_fn,fold
0.65,0.772020725388601,0.755701217619567,0.7396514161220044,0.9077540106951871,0.8151260504201681,0.5447621910787683,364,239,69,679,0.804245262103032,0.7783921850563162,0.18551789998119708,290211357.6345952,261874552.3559764,28336805.278618813,239,69,214812.25583611784,1095709.4240835833,43920.55234070343,1
0.6,0.7779422649888971,0.7600843820115111,0.7388059701492538,0.9264705882352942,0.8220640569395018,0.561277043040672,358,245,55,693,0.804245262103032,0.7783921850563162,0.18551789998119708,290389186.5785326,263705764.6074135,26683421.97111906,245,55,214943.88347781834,1076350.059622096,51885.35979999932,1
0.7,0.7794226498889711,0.7659219499649701,0.754524886877828,0.8917112299465241,0.8174019607843137,0.5559158602417206,386,217,81,667,0.804245262103032,0.7783921850563162,0.18551789998119708,296375602.4688781,248175271.3920844,48200331.076793715,217,81,219374.98332263366,1143664.845124813,63640.12154784886,1
0.55,0.774981495188749,0.7558032032351611,0.7327044025157232,0.9344919786096256,0.8213866039952996,0.558310747944319,348,255,49,699,0.804245262103032,0.7783921850563162,0.18551789998119708,296534705.7194422,271066809.2759189,25467896.443523273,255,49,219492.75034747756,1063007.095199682,55585.68900435635,1
0.5,0.771280532938564,0.7500498842684971,0.7242083758937692,0.9478609625668449,0.8210770121598147,0.5565488538427079,333,270,39,709,0.804245262103032,0.7783921850563162,0.18551789998119708,303650018.90877163,286208420.61111695,17441598.29765468,270,39,224759.45144986798,1060031.1874485812,47828.60023679453,1
0.45,0.7601776461880089,0.7368083823307704,0.7111553784860558,0.9545454545454546,0.815068493150685,0.5388959602114851,313,290,34,714,0.804245262103032,0.7783921850563162,0.18551789998119708,317422888.78169364,299998879.81732243,17424008.96437121,290,34,234954.02574514702,1034478.8959218014,54806.89100315069,1
0.4,0.7490747594374537,0.7232454039960625,0.6979670861568248,0.963903743315508,0.8096574957888827,0.5231885810537898,291,312,27,721,0.804245262103032,0.7783921850563162,0.18551789998119708,322263332.74097335,312733400.91151464,9529931.829458712,312,27,238536.88581863313,1002350.6439471623,37747.83324640658,1
0.35,0.7387120651369357,0.7106723512561968,0.6864966949952785,0.9719251336898396,0.8046485888212507,0.5088708659562601,271,332,21,727,0.804245262103032,0.7783921850563162,0.18551789998119708,332916990.7493713,326871675.9053321,6045314.844039185,332,21,246422.6430417256,984553.2406787111,30786.876348366583,1
0.3,0.7283493708364175,0.6984207749133122,0.6762257169287696,0.9772727272727273,0.7993439037725533,0.4933235669768216,253,350,17,731,0.804245262103032,0.7783921850563162,0.18551789998119708,349754577.013843,343801625.18089885,5952951.832944146,350,17,258885.69727153442,982290.3576597108,37449.79504112072,1
0.25,0.7179866765358993,0.6863299367689184,0.6666666666666666,0.9812834224598931,0.7939426717144402,0.47704398410814514,236,367,14,734,0.804245262103032,0.7783921850563162,0.18551789998119708,358916087.4229332,357266888.05231,1649199.3706232102,367,14,265666.97810727847,973479.2589981199,12598.27612136151,1
0.75,0.7779422649888971,0.7668353863481168,0.7622950819672131,0.8703208556149733,0.8127340823970037,0.5501431932496207,400,203,97,651,0.804245262103032,0.7783921850563162,0.18551789998119708,365520217.8075704,231798681.82372797,133721535.98384245,203,97,270555.3055570469,1141865.4277030935,147433.31144932174,1
0.2,0.698741672834937,0.6642888498683055,0.6504854368932039,0.9852941176470589,0.783625730994152,0.44402184615650087,207,396,11,737,0.804245262103032,0.7783921850563162,0.18551789998119708,388314093.0698263,386669727.09958214,1644365.9702441422,396,11,287427.1599332541,976438.7047969247,15987.177375776095,1
0.15,0.6728349370836417,0.6351065527975097,0.6307692307692307,0.9866310160427807,0.7695516162669447,0.3943516348366418,171,432,10,738,0.804245262103032,0.7783921850563162,0.18551789998119708,418457780.41282564,416819311.41419876,1638468.9986268736,432,10,309739.2897208184,964859.5171624972,17522.8291498004,1
0.8,0.7594374537379719,0.7536603967683863,0.7694267515923567,0.8074866310160428,0.7879973907371167,0.5111508344668854,422,181,144,604,0.804245262103032,0.7783921850563162,0.18551789998119708,432035297.00341916,218643940.54458976,213391356.45882937,181,144,319789.26499142795,1207977.5720695567,158482.14113661283,1
0.1,0.6454478164322723,0.6036229281400484,0.610517666392769,0.9933155080213903,0.756234096692112,0.3446653481377064,129,474,5,743,0.804245262103032,0.7783921850563162,0.18551789998119708,460397366.00852746,458771800.58165884,1625565.4268686322,474,5,340782.6543364378,967872.9970077191,34769.66029960038,1
0.85,0.7246484085862325,0.7259402630342051,0.7716763005780347,0.713903743315508,0.7416666666666667,0.44940440619751654,445,158,214,534,0.804245262103032,0.7783921850563162,0.18551789998119708,531572907.21906835,187990198.64263386,343582708.5764345,158,214,393466.2525677782,1189811.3838141384,171705.2300373225,1
0.05,0.5906735751295337,0.5416201080160694,0.5750577367205543,0.9986631016042781,0.7298485588666341,0.215098016844271,51,552,1,747,0.804245262103032,0.7783921850563162,0.18551789998119708,549904089.6586711,549904089.6586711,0.0,552,1,407034.8554098232,996203.0609758535,0.0,1
0.9,0.6905995558845299,0.6998530076888285,0.7806122448979592,0.6136363636363636,0.687125748502994,0.40077369368364135,474,129,289,459,0.804245262103032,0.7783921850563162,0.18551789998119708,587770377.5989878,159885721.2067173,427884656.39227057,129,289,435063.19585417304,1239424.1954009093,158341.54148190955,1
0.95,0.6180606957809031,0.6402922996426069,0.7788461538461539,0.43315508021390375,0.5567010309278351,0.3021487584646349,511,92,424,324,0.804245262103032,0.7783921850563162,0.18551789998119708,640874998.4516151,113864548.26296754,527010450.1886475,92,424,474370.8352713657,1237658.1332931255,132928.8869865344,1
0.25,0.8097705403404886,0.7450899178702917,0.7745187901008249,0.9871495327102804,0.8680020544427324,0.5990952475555702,249,246,11,845,0.8394352402529972,0.8732630016741665,0.15994680194275607,207885296.02229193,207842480.78916532,42815.23312659624,246,11,153875.12658940928,844888.1332892901,416.2666576458465,2
0.2,0.7905255366395263,0.7154193807231191,0.7528684907325685,0.9964953271028038,0.85771744595274,0.5643012974446789,215,280,3,853,0.8394352402529972,0.8732630016741665,0.15994680194275607,233503697.33185136,233487652.71591425,16044.615937105686,280,3,172837.67382076342,833884.4739854081,571.9710780321633,2
0.3,0.8260547742413027,0.7724240064193335,0.7971291866028708,0.9731308411214953,0.8763808521830615,0.6271854788499961,283,212,23,833,0.8394352402529972,0.8732630016741665,0.15994680194275607,237817170.37327322,198684045.80795598,39133124.56531724,212,23,176030.47399946203,937188.895320547,181962.8319593751,2
0.35,0.8282753515914137,0.7856780421032757,0.8138832997987927,0.9450934579439252,0.8745945945945945,0.6243369493094273,310,185,47,809,0.8394352402529972,0.8732630016741665,0.15994680194275607,239345723.85623178,188596126.60829666,50749597.247935124,185,47,177161.89774702574,1019438.5222070091,115478.39525567609,2
0.4,0.8201332346410066,0.786494619088077,0.8229715489989463,0.9123831775700935,0.8653739612188366,0.6038649382352689,327,168,75,781,0.8394352402529972,0.8732630016741665,0.15994680194275607,247256439.00104433,180634796.1885907,66621642.81245364,168,75,183017.34937160942,1075207.120170183,94999.22717772894,2
0.15,0.7490747594374537,0.6575757575757576,0.7163179916317992,1.0,0.8347147732813262,0.4751301930976939,156,339,0,856,0.8394352402529972,0.8732630016741665,0.15994680194275607,249144672.77936724,249144672.77936724,0.0,339,0,184415.0057582289,734940.0376972484,0.0,2
0.45,0.7971872686898593,0.7713690644765412,0.8219026548672567,0.8679906542056075,0.8443181818181819,0.5557658254802121,334,161,113,743,0.8394352402529972,0.8732630016741665,0.15994680194275607,268395254.46214664,177420135.98798996,90975118.4741567,161,113,198664.14097864297,1101988.422285652,86101.3943013872,2
0.5,0.7868245743893413,0.7674513829887661,0.8264367816091954,0.8399532710280374,0.8331402085747392,0.5382476730293843,344,151,137,719,0.8394352402529972,0.8732630016741665,0.15994680194275607,270786260.9938349,175750479.99692804,95035780.99690686,151,137,200433.9459613878,1163910.4635558145,74187.81476235317,2
0.55,0.7801628423390081,0.7656022845275181,0.8307692307692308,0.8200934579439252,0.8253968253968254,0.528807578818226,352,143,154,702,0.8394352402529972,0.8732630016741665,0.15994680194275607,282823902.71455574,170722657.2064242,112101245.5081315,143,154,209344.11747931587,1193864.73570926,77849.4798262072,2
0.1,0.6713545521835678,0.5515151515151515,0.6584615384615384,1.0,0.7940630797773655,0.2604639933685496,51,444,0,856,0.8394352402529972,0.8732630016741665,0.15994680194275607,365157980.7395414,365157980.7395414,0.0,444,0,270287.18041416834,822427.8845485167,0.0,2
0.6,0.7535159141376758,0.7522420466345701,0.8382923673997412,0.7570093457943925,0.7955801104972375,0.4912847606767429,370,125,208,648,0.8394352402529972,0.8732630016741665,0.15994680194275607,416719290.7902254,151407773.54282436,265311517.247401,125,208,308452.472827702,1211262.1883425948,136413.9442679725,2
0.05,0.6336047372316802,0.5,0.6336047372316802,1.0,0.775713638423199,0.0,0,495,0,856,0.8394352402529972,0.8732630016741665,0.15994680194275607,423106532.672356,423106532.672356,0.0,495,0,313180.26104541525,854760.6720653658,0.0,2
0.7,0.4692820133234641,0.5782096667610687,0.954248366013072,0.1705607476635514,0.2893954410307235,0.2378240597775167,488,7,710,146,0.8394352402529972,0.8732630016741665,0.15994680194275607,451727457.8450235,3522116.716516042,448205341.1285075,7,710,334365.2537712979,503159.53093086317,67512.57564144263,2
0.65,0.6039970392301999,0.6636446238081752,0.8706697459584296,0.44042056074766356,0.5849495733126454,0.33791380198410687,439,56,479,377,0.8394352402529972,0.8732630016741665,0.15994680194275607,457796379.74274945,55706685.98948634,402089693.7532631,56,479,338857.42393985897,994762.249812256,89774.58912055622,2
0.75,0.45003700962250187,0.564300717454923,0.9669421487603306,0.1366822429906542,0.23950870010235414,0.2169901676283027,491,4,739,117,0.8394352402529972,0.8732630016741665,0.15994680194275607,488894261.2506767,897916.176261626,487996345.0744151,4,739,361875.84104417224,224479.0440654065,70621.69369960214,2
0.8,0.38786084381939306,0.5165132634758803,0.967741935483871,0.035046728971962614,0.06764374295377677,0.1062758470847496,494,1,826,30,0.8394352402529972,0.8732630016741665,0.15994680194275607,537286594.5031486,170207.92432115995,537116386.5788274,1,826,397695.4807573268,170207.92432115995,69543.14911585084,2
0.85,0.36639526276831974,0.5,0.0,0.0,0.0,0.0,495,0,856,0,0.8394352402529972,0.8732630016741665,0.15994680194275607,541725310.2283056,0.0,541725310.2283056,0,856,400980.98462494864,0.0,67681.71584884795,2
0.9,0.36639526276831974,0.5,0.0,0.0,0.0,0.0,495,0,856,0,0.8394352402529972,0.8732630016741665,0.15994680194275607,541725310.2283056,0.0,541725310.2283056,0,856,400980.98462494864,0.0,67681.71584884795,2
0.95,0.36639526276831974,0.5,0.0,0.0,0.0,0.0,495,0,856,0,0.8394352402529972,0.8732630016741665,0.15994680194275607,541725310.2283056,0.0,541725310.2283056,0,856,400980.98462494864,0.0,67681.71584884795,2
0.2,0.8660251665433013,0.7092729639908179,0.8756260434056762,0.9703977798334875,0.9205792014041246,0.5281578336870926,121,149,32,1049,0.8811234453695139,0.9637249683304813,0.11677167530695338,119892123.88084957,94820682.3316355,25071441.549214065,149,32,88743.24491550672,636380.418333124,83790.60482191406,3
0.15,0.8638045891931903,0.6926028711412615,0.8685291700903862,0.9777983348751156,0.9199303742384682,0.5153351825890213,110,160,24,1057,0.8811234453695139,0.9637249683304813,0.11677167530695338,124132476.07981184,99162382.81756662,24970093.262245215,160,24,91881.92159867642,619764.8926097915,111269.18850656546,3
0.25,0.8608438193930422,0.7199283927776065,0.8812980358667806,0.9546716003700277,0.91651865008881,0.5175964929837926,131,139,49,1032,0.8811234453695139,0.9637249683304813,0.11677167530695338,125748093.10095662,92258828.92559701,33489264.1753596,139,49,93077.78911987906,663732.5821985396,73092.95557897062,3
0.05,0.8245743893412287,0.5625004282728612,0.8206686930091185,0.9990749306197965,0.9011264080100125,0.31466305236273745,34,236,1,1080,0.8811234453695139,0.9637249683304813,0.11677167530695338,133265279.34458317,133264568.42743103,710.9171521373054,236,1,98641.9536229335,564680.3746925043,76.03000000002771,3
