feature,importance
PMVL[PRMP PMVL],24.923216530341616
PMVL[PRMP VNC],16.40153669728834
PMVL[CANTON],8.72635785531786
PMVL[PFMIndice.Perf J / J-1],8.671206760112689
PMVL[PMVL Estimé],6.9874589855542855
PMVL[Ref Unik Codes Completed],6.290592081324527
PMVL[CIC],5.582476303959583
PMVL[MtM Estimé],4.4132447008368585
PMVL[PMVL Estimée + PRATIC],3.8924130022105707
PMVL[Quantity],3.7348918727680145
position_group,2.206993386284597
PMVL[3A],1.738702741767345
PMVL[PRMP MtM],1.7271690446219305
PMVL[Ref Unik Light],1.3208336127414664
PMVL[Ptf name],1.1257591700441272
PMVL[MtM Estimée + PRATIC],0.7222392792657188
PMVL[Quote],0.5318772330695504
PMVL[Ref Unik Asset],0.41624951568147545
PMVL[Parametres_Indices.TICKER],0.32139961943506457
PMVL[Inst Num],0.26538160737438554
PMVL[Inst. Nominal],0.0
PMVL[RefUnik Position],0.0
PMVL[VNC Agrege dirty (ptf cur.)],0.0
PMVL[GROUPE],0.0
PMVL[Quote Mode],0.0
PMVL[Purch. Val. (clean) (ptf cur.)],0.0
PMVL[PRATIC_PMVLEstimée],0.0
