feature,importance
PMVL[PFMIndice.Perf J / J-1],20.94944524070932
PMVL[PRMP PMVL],17.141926466641927
PMVL[PRMP VNC],14.960398138716782
PMVL[Parametres_Indices.TICKER],6.034718162813021
PMVL[PMVL Estimée + PRATIC],4.024949034111153
PMVL[Ref Unik Codes Completed],3.4137065914326783
PMVL[Quote],3.0410035903672488
PMVL[CANTON],2.9487376758026476
PMVL[Inst Num],2.9113921821204705
PMVL[Ref Unik Light],2.68878192431433
PMVL[VNC Agrege dirty (ptf cur.)],2.5813873610025855
PMVL[CIC],2.5507226782149313
PMVL[PMVL Estimé],2.5330891005811145
PMVL[Ptf name],2.4154328227114554
PMVL[PRMP MtM],2.3829650511907
PMVL[3A],1.8051950465568762
PMVL[Ref Unik Asset],1.625507746451643
position_group,1.6001168563923558
PMVL[MtM Estimée + PRATIC],1.1964178116927762
PMVL[Purch. Val. (clean) (ptf cur.)],1.1385076947984614
PMVL[MtM Estimé],1.0345893131386392
PMVL[Quantity],0.8521524780933384
PMVL[Inst. Nominal],0.12008582108349147
PMVL[PRATIC_PMVLEstimée],0.026300319160624048
PMVL[Quote Mode],0.019908485554921734
PMVL[RefUnik Position],0.002562406346585979
PMVL[GROUPE],0.0
