threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample,avg_cost_fp,avg_cost_fn
0.2,0.8660251665433013,0.7092729639908179,0.8756260434056762,0.9703977798334875,0.9205792014041246,0.5281578336870926,121,149,32,1049,0.8811234453695139,0.9637249683304813,0.11677167530695338,119892123.88084957,94820682.3316355,25071441.549214065,149,32,88743.24491550672,636380.418333124,83790.60482191406
0.15,0.8638045891931903,0.6926028711412615,0.8685291700903862,0.9777983348751156,0.9199303742384682,0.5153351825890213,110,160,24,1057,0.8811234453695139,0.9637249683304813,0.11677167530695338,124132476.07981184,99162382.81756662,24970093.262245215,160,24,91881.92159867642,619764.8926097915,111269.18850656546
0.25,0.8608438193930422,0.7199283927776065,0.8812980358667806,0.9546716003700277,0.91651865008881,0.5175964929837926,131,139,49,1032,0.8811234453695139,0.9637249683304813,0.11677167530695338,125748093.10095662,92258828.92559701,33489264.1753596,139,49,93077.78911987906,663732.5821985396,73092.95557897062
0.05,0.8245743893412287,0.5625004282728612,0.8206686930091185,0.9990749306197965,0.9011264080100125,0.31466305236273745,34,236,1,1080,0.8811234453695139,0.9637249683304813,0.11677167530695338,133265279.34458317,133264568.42743103,710.9171521373054,236,1,98641.9536229335,564680.3746925043,76.03000000002771
0.1,0.8386380458919319,0.6115787850755473,0.8379013312451057,0.9898242368177613,0.90754877014419,0.3921886712646721,63,207,11,1070,0.8811234453695139,0.9637249683304813,0.11677167530695338,136370447.21681508,114754093.19260769,21616354.0242074,207,11,100940.37543805706,554367.5999642884,210162.757108909
0.35,0.8704663212435233,0.7759567615719327,0.9073741007194245,0.9333950046253469,0.9202006383948929,0.5783815361104302,167,103,72,1009,0.8811234453695139,0.9637249683304813,0.11677167530695338,149838403.1227405,67419025.67844254,82419377.44429795,103,72,110909.25471705441,654553.6473635196,122422.947445288
0.4,0.8660251665433013,0.787074725048823,0.914364640883978,0.9185938945420906,0.9164743885556068,0.5782049863896709,177,93,88,993,0.8811234453695139,0.9637249683304813,0.11677167530695338,149867621.35442695,64670031.461936176,85197589.89249077,93,88,110930.88183155215,695376.6823864104,103540.58997870541
0.45,0.8586232420429312,0.7935639154418064,0.9198113207547169,0.9019426456984274,0.9107893507706679,0.5711207892451149,185,85,106,975,0.8811234453695139,0.9637249683304813,0.11677167530695338,153188650.4301723,64264606.64663812,88924043.78353418,85,106,113389.08247977225,756054.1958428012,89717.94894963306
0.55,0.848260547742413,0.8023709185596327,0.927734375,0.8788159111933395,0.9026128266033254,0.5646000201604973,196,74,131,950,0.8811234453695139,0.9637249683304813,0.11677167530695338,153759232.2449907,57801817.75048369,95957414.49450701,74,131,113811.42283122924,781105.6452768068,78338.13716094225
0.5,0.8534418948926721,0.7944941240963443,0.9216809933142311,0.8926919518963923,0.9069548872180451,0.5640157425878374,188,82,116,965,0.8811234453695139,0.9637249683304813,0.11677167530695338,155317261.09672385,62132223.673790604,93185037.42293327,82,116,114964.66402422194,757710.0448023244,85912.07188183552
