feature,importance
PMVL[PRMP VNC],24.11404266044199
PMVL[PRMP PMVL],15.975079534783463
PMVL[PFMIndice.Perf J / J-1],12.765890652380698
PMVL[Parametres_Indices.TICKER],8.885939004906742
PMVL[Ref Unik Codes Completed],4.525318727447015
PMVL[3A],3.642423729711854
PMVL[PMVL Estimée + PRATIC],3.6161893517012262
position_group,3.3452582416687116
PMVL[MtM Estimée + PRATIC],3.340920082045019
PMVL[PMVL Estimé],3.3174928357374385
PMVL[Inst Num],2.790409801591599
PMVL[CANTON],2.663173687033355
PMVL[CIC],2.631822295026738
PMVL[Ref Unik Light],2.178484533922472
PMVL[PRMP MtM],1.596012255113449
PMVL[Ref Unik Asset],1.318680098113296
PMVL[Ptf name],1.2319401851861367
PMVL[Quote],1.1331326804278161
PMVL[Inst. Nominal],0.47814524150425386
PMVL[Quantity],0.2537062109170392
PMVL[MtM Estimé],0.1959381903397393
PMVL[RefUnik Position],0.0
PMVL[Quote Mode],0.0
PMVL[GROUPE],0.0
PMVL[VNC Agrege dirty (ptf cur.)],0.0
PMVL[Purch. Val. (clean) (ptf cur.)],0.0
PMVL[PRATIC_PMVLEstimée],0.0
