threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample,avg_cost_fp,avg_cost_fn,fold
0.95,0.8637008991954567,0.8844348049611208,0.9740168539325843,0.8467643467643468,0.9059438275636839,0.684686623670291,438,37,251,1387,0.9490180579654264,0.983820100717607,0.08038962654119201,46267295.95071986,13943699.628175179,32323596.322544686,37,251,21896.495953961126,376856.74670743727,128779.26821730954,1
0.9,0.8887837198296261,0.8886549707602339,0.9648774022531478,0.8888888888888888,0.9253257070225611,0.7181826126217878,422,53,182,1456,0.9490180579654264,0.983820100717607,0.08038962654119201,47196043.00624451,18843225.30866744,28352817.697577074,53,182,22336.035497512785,355532.5529937252,155784.71262404986,1
0.85,0.9039280643634643,0.890201786517576,0.9590531030070377,0.9151404151404151,0.936582318025617,0.7424413792868424,411,64,139,1499,0.9490180579654264,0.983820100717607,0.08038962654119201,58491669.611387715,34378225.907577336,24113443.703810383,64,139,27681.812404821445,537159.7798058959,173478.01225762867,1
0.8,0.9081874112636062,0.8794961763382816,0.9490049751243781,0.9316239316239316,0.940234134319162,0.7429377777069475,393,82,112,1526,0.9490180579654264,0.983820100717607,0.08038962654119201,94068584.48591596,75516655.63502648,18551928.850889467,82,112,44518.970414536656,920934.8248173961,165642.22188294167,1
0.75,0.9025082820634169,0.8623803097487308,0.9387254901960784,0.9352869352869353,0.9370030581039756,0.7215488281002734,375,100,106,1532,0.9490180579654264,0.983820100717607,0.08038962654119201,102986510.57107845,84847259.47018898,18139251.100889467,100,106,48739.47495081801,848472.5947018899,171125.0103857497,1
0.7,0.9020350212967345,0.8546012467065098,0.9333737129012719,0.9407814407814408,0.9370629370629371,0.7162744880739905,365,110,97,1541,0.9490180579654264,0.983820100717607,0.08038962654119201,104615018.58885309,86807920.25700143,17807098.331851665,110,97,49510.18390385854,789162.9114272856,183578.3333180584,1
0.65,0.8996687174633223,0.8411168948011053,0.9249106078665077,0.9474969474969475,0.9360675512665863,0.7043627365689679,349,126,86,1552,0.9490180579654264,0.983820100717607,0.08038962654119201,117977401.72862297,106466051.91540556,11511349.813217416,126,86,55834.07559329057,844968.6659952821,133852.9048048537,1
0.55,0.898248935163275,0.8319799498746867,0.9192692987625221,0.9523809523809523,0.9355322338830585,0.6970405083250424,338,137,78,1560,0.9490180579654264,0.983820100717607,0.08038962654119201,119892427.65678683,110546648.01356938,9345779.643217439,137,78,56740.38223227015,806909.839515105,119817.68773355689,1
0.6,0.8968291528632276,0.8333063427800269,0.9206161137440758,0.9487179487179487,0.9344558027660854,0.6942192328633655,341,134,84,1554,0.9490180579654264,0.983820100717607,0.08038962654119201,120323083.8187679,109840567.20555046,10482516.613217436,134,84,56944.19489766583,819705.7254145556,124791.86444306471,1
0.5,0.8949361097964978,0.823116766274661,0.914519906323185,0.9536019536019537,0.9336521219366407,0.6853648042465492,329,146,76,1562,0.9490180579654264,0.983820100717607,0.08038962654119201,127154458.91678679,117990908.57356936,9163550.34321743,146,76,60177.216714049595,808156.9080381463,120573.03083180827,1
0.45,0.8930430667297681,0.8144219523166891,0.9095127610208816,0.9572649572649573,0.9327781082688875,0.6773344701300819,319,156,70,1568,0.9490180579654264,0.983820100717607,0.08038962654119201,129207059.02542533,121139345.77680805,8067713.248617282,156,70,61148.63181515633,776534.2678000516,115253.0464088183,1
0.4,0.8883104590629437,0.8016534927061243,0.9028735632183909,0.9590964590964591,0.9301361752516282,0.660561210305035,306,169,67,1571,0.9490180579654264,0.983820100717607,0.08038962654119201,158377025.3806731,156269545.67680812,2107479.7038649977,169,67,74953.63245654193,924671.8679101072,31454.920953208915,1
0.35,0.8878371982962613,0.7961165734849945,0.8996006845407872,0.9627594627594628,0.930109112356237,0.657588570347776,299,176,61,1577,0.9490180579654264,0.983820100717607,0.08038962654119201,165113838.70913383,163739263.05086073,1374575.6582731085,176,61,78141.90189736575,930336.7218798905,22534.02718480506,1
0.3,0.8831045906294368,0.7848428764218238,0.8940509915014164,0.9633699633699634,0.9274169850132237,0.6411758188276654,288,187,60,1578,0.9490180579654264,0.983820100717607,0.08038962654119201,184159388.7789922,182791350.09031484,1368038.6886773643,187,60,87155.41352531576,977493.8507503466,22800.644811289407,1
0.25,0.8816848083293894,0.7757059314954051,0.8890134529147982,0.9682539682539683,0.9269433080070134,0.6348695310950903,277,198,52,1586,0.9490180579654264,0.983820100717607,0.08038962654119201,198468668.95480654,197205222.80612916,1263446.1486773654,198,52,93927.43443199553,995985.9737683291,24297.041320718567,1
0.2,0.8802650260293422,0.7688111303900778,0.8853644963828603,0.9713064713064713,0.9263464337700146,0.6293082373131075,269,206,47,1591,0.9490180579654264,0.983820100717607,0.08038962654119201,232375743.31723028,231549872.60264212,825870.714588166,206,47,109974.32244071476,1124028.507779816,17571.717331663105,1
0.15,0.8778987221959299,0.7613058286742498,0.8816371681415929,0.9731379731379731,0.9251305861868834,0.6207742782177998,261,214,44,1594,0.9490180579654264,0.983820100717607,0.08038962654119201,258168161.9746576,257440291.31885135,727870.6558062404,214,44,122180.86226912333,1202992.0155086513,16542.514904687283,1
0.1,0.8712730714623758,0.7413373176531071,0.8720043572984749,0.9774114774114774,0.9217040875071963,0.5970105526061189,240,235,37,1601,0.9490180579654264,0.983820100717607,0.08038962654119201,297160670.7033154,296556206.4586972,604464.2446181852,235,37,140634.48684491974,1261941.3040795627,16336.871476167167,1
