feature,importance
PMVL[PRMP VNC],15.917019846755723
PMVL[PFMIndice.Perf J / J-1],15.726309257709545
PMVL[PRMP PMVL],10.138172210926827
PMVL[Parametres_Indices.TICKER],5.498206958492575
PMVL[Quote],5.0192103164050925
PMVL[PMVL Estimé],4.883237379335796
PMVL[CANTON],4.599505972376217
PMVL[PMVL Estimée + PRATIC],4.164815994590015
PMVL[Ref Unik Codes Completed],3.3051028423264133
PMVL[CIC],3.2162682202469974
PMVL[Ref Unik Light],3.1336382948066337
PMVL[Inst Num],2.9307816950826617
PMVL[Ref Unik Asset],2.7755663671438815
PMVL[PRMP MtM],2.754174086771421
PMVL[3A],2.5982265209857074
PMVL[Purch. Val. (clean) (ptf cur.)],2.4379264075595013
PMVL[Ptf name],2.3475577303579827
PMVL[MtM Estimée + PRATIC],2.3293571968612485
PMVL[VNC Agrege dirty (ptf cur.)],1.992982041456901
PMVL[MtM Estimé],1.9808051593914417
position_group,1.1337868384494862
PMVL[Quantity],0.5933092405441148
PMVL[PRATIC_PMVLEstimée],0.32999288453018144
PMVL[Inst. Nominal],0.1916247297712394
PMVL[RefUnik Position],0.0024218071224559436
PMVL[GROUPE],0.0
PMVL[Quote Mode],0.0
