feature,importance
PMVL[PFMIndice.Perf J / J-1],25.683257731855356
PMVL[PRMP VNC],15.016337031502339
PMVL[PRMP PMVL],9.990336595321974
PMVL[Parametres_Indices.TICKER],4.46803818397832
PMVL[PMVL Estimé],4.256827345308828
PMVL[CANTON],3.5086947289984827
PMVL[PMVL Estimée + PRATIC],3.411141614213448
PMVL[3A],3.2289809159478446
PMVL[Ref Unik Codes Completed],2.8945060412134755
PMVL[Purch. Val. (clean) (ptf cur.)],2.691671286014597
position_group,2.458935200271642
PMVL[Quote],2.4300678311417814
PMVL[Ptf name],2.3517481338808675
PMVL[VNC Agrege dirty (ptf cur.)],2.290721293115883
PMVL[PRMP MtM],2.2480183886963725
PMVL[CIC],2.1224130678582904
PMVL[Ref Unik Light],2.109521093135852
PMVL[MtM Estimée + PRATIC],1.948376145228122
PMVL[Ref Unik Asset],1.8318420279466026
PMVL[Inst Num],1.7159142719515343
PMVL[MtM Estimé],1.5389366380418819
PMVL[Quantity],1.4670404075468992
PMVL[Inst. Nominal],0.19264710929736725
PMVL[PRATIC_PMVLEstimée],0.11312529213010883
PMVL[Quote Mode],0.028845363198557017
PMVL[RefUnik Position],0.0020562622034206624
PMVL[GROUPE],0.0
