threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample,avg_cost_fp,avg_cost_fn
0.45,0.8715867158671586,0.7770131938125568,0.9140555058191585,0.9290263876251137,0.9214801444043321,0.5699466612960771,160,96,78,1021,0.8739727877616013,0.9633769355404069,0.10352769758732153,66484876.828709885,35252635.5633683,31232241.265341584,96,78,49066.32976288552,367214.95378508646,42822.74928267342
0.35,0.8730627306273063,0.7404689632620565,0.8964927288280582,0.9535941765241128,0.9241622574955908,0.54707154698351,135,121,51,1048,0.8739727877616013,0.9633769355404069,0.10352769758732153,66680188.63036856,47212433.74458987,19467754.885778688,121,51,49210.47131392514,390185.4028478502,40823.63679077042
0.3,0.862730627306273,0.6966453878525933,0.8788381742738589,0.9636032757051866,0.9192708333333334,0.4906744410415588,110,146,40,1059,0.8739727877616013,0.9633769355404069,0.10352769758732153,68216668.85071398,50738852.18831294,17477816.662401047,146,40,50344.405055877476,347526.3848514585,46729.72078560099
0.15,0.8538745387453874,0.6237684116242038,0.8511301636788776,0.9936305732484076,0.9168765743073047,0.4319953435512089,65,191,7,1092,0.8739727877616013,0.9633769355404069,0.10352769758732153,68375214.28941442,67556723.50576423,818490.7836501829,191,7,50461.41275971544,353700.1230668285,12504.944009671754
0.4,0.8760147601476015,0.7617649567788899,0.9058413251961639,0.9454049135577798,0.92520035618878,0.5685215795213925,148,108,60,1039,0.8739727877616013,0.9633769355404069,0.10352769758732153,69175404.0722012,46024585.599340364,23150818.472860843,108,60,51051.958724871736,426153.5703642626,41264.92853165114
0.25,0.8612546125461255,0.6837501421747043,0.8736669401148482,0.9690627843494085,0.9188955996548749,0.47874604732731973,102,154,34,1065,0.8739727877616013,0.9633769355404069,0.10352769758732153,69389124.90326418,52009437.670565896,17379687.23269828,154,34,51209.68627547172,337723.6212374409,54667.477833550256
0.5,0.8605166051660517,0.7776796377388535,0.9166666666666666,0.910828025477707,0.9137380191693291,0.5496720637723632,165,91,98,1001,0.8739727877616013,0.9633769355404069,0.10352769758732153,71692439.31476977,31231383.562640257,40461055.75212952,91,98,52909.54930979319,343202.017171871,44154.719782476386
0.2,0.8605166051660517,0.6518336982484076,0.8611111111111112,0.9872611464968153,0.9198813056379822,0.46555384700235464,81,175,14,1085,0.8739727877616013,0.9633769355404069,0.10352769758732153,73086791.64282516,60469814.328871295,12616977.313953867,175,14,53938.59161832115,345541.79616497894,96381.41200483174
0.1,0.8457564575645756,0.600785870677889,0.8433641975308642,0.9945404913557779,0.9127348643006263,0.38665174089688226,53,203,6,1093,0.8739727877616013,0.9633769355404069,0.10352769758732153,76168549.57419893,75651342.54357302,517207.03062591597,203,6,56212.951715275965,372666.7120373055,9218.90134461779
0.55,0.855350553505535,0.7804875881483166,0.9192200557103064,0.9008189262966333,0.9099264705882353,0.5437912597565239,169,87,109,990,0.8739727877616013,0.9633769355404069,0.10352769758732153,76553457.39175136,25751672.891429182,50801784.50032218,87,109,56497.01652527776,295996.2401313699,49844.64049150875
