threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample,avg_cost_fp,avg_cost_fn
0.25,0.8097705403404886,0.7450899178702917,0.7745187901008249,0.9871495327102804,0.8680020544427324,0.5990952475555702,249,246,11,845,0.8394352402529972,0.8732630016741665,0.15994680194275607,207885296.02229193,207842480.78916532,42815.23312659624,246,11,153875.12658940928,844888.1332892901,416.2666576458465
0.2,0.7905255366395263,0.7154193807231191,0.7528684907325685,0.9964953271028038,0.85771744595274,0.5643012974446789,215,280,3,853,0.8394352402529972,0.8732630016741665,0.15994680194275607,233503697.33185136,233487652.71591425,16044.615937105686,280,3,172837.67382076342,833884.4739854081,571.9710780321633
0.3,0.8260547742413027,0.7724240064193335,0.7971291866028708,0.9731308411214953,0.8763808521830615,0.6271854788499961,283,212,23,833,0.8394352402529972,0.8732630016741665,0.15994680194275607,237817170.37327322,198684045.80795598,39133124.56531724,212,23,176030.47399946203,937188.895320547,181962.8319593751
0.35,0.8282753515914137,0.7856780421032757,0.8138832997987927,0.9450934579439252,0.8745945945945945,0.6243369493094273,310,185,47,809,0.8394352402529972,0.8732630016741665,0.15994680194275607,239345723.85623178,188596126.60829666,50749597.247935124,185,47,177161.89774702574,1019438.5222070091,115478.39525567609
0.4,0.8201332346410066,0.786494619088077,0.8229715489989463,0.9123831775700935,0.8653739612188366,0.6038649382352689,327,168,75,781,0.8394352402529972,0.8732630016741665,0.15994680194275607,247256439.00104433,180634796.1885907,66621642.81245364,168,75,183017.34937160942,1075207.120170183,94999.22717772894
0.15,0.7490747594374537,0.6575757575757576,0.7163179916317992,1.0,0.8347147732813262,0.4751301930976939,156,339,0,856,0.8394352402529972,0.8732630016741665,0.15994680194275607,249144672.77936724,249144672.77936724,0.0,339,0,184415.0057582289,734940.0376972484,0.0
0.45,0.7971872686898593,0.7713690644765412,0.8219026548672567,0.8679906542056075,0.8443181818181819,0.5557658254802121,334,161,113,743,0.8394352402529972,0.8732630016741665,0.15994680194275607,268395254.46214664,177420135.98798996,90975118.4741567,161,113,198664.14097864297,1101988.422285652,86101.3943013872
0.5,0.7868245743893413,0.7674513829887661,0.8264367816091954,0.8399532710280374,0.8331402085747392,0.5382476730293843,344,151,137,719,0.8394352402529972,0.8732630016741665,0.15994680194275607,270786260.9938349,175750479.99692804,95035780.99690686,151,137,200433.9459613878,1163910.4635558145,74187.81476235317
0.55,0.7801628423390081,0.7656022845275181,0.8307692307692308,0.8200934579439252,0.8253968253968254,0.528807578818226,352,143,154,702,0.8394352402529972,0.8732630016741665,0.15994680194275607,282823902.71455574,170722657.2064242,112101245.5081315,143,154,209344.11747931587,1193864.73570926,77849.4798262072
0.1,0.6713545521835678,0.5515151515151515,0.6584615384615384,1.0,0.7940630797773655,0.2604639933685496,51,444,0,856,0.8394352402529972,0.8732630016741665,0.15994680194275607,365157980.7395414,365157980.7395414,0.0,444,0,270287.18041416834,822427.8845485167,0.0
0.6,0.7535159141376758,0.7522420466345701,0.8382923673997412,0.7570093457943925,0.7955801104972375,0.4912847606767429,370,125,208,648,0.8394352402529972,0.8732630016741665,0.15994680194275607,416719290.7902254,151407773.54282436,265311517.247401,125,208,308452.472827702,1211262.1883425948,136413.9442679725
0.05,0.6336047372316802,0.5,0.6336047372316802,1.0,0.775713638423199,0.0,0,495,0,856,0.8394352402529972,0.8732630016741665,0.15994680194275607,423106532.672356,423106532.672356,0.0,495,0,313180.26104541525,854760.6720653658,0.0
0.7,0.4692820133234641,0.5782096667610687,0.954248366013072,0.1705607476635514,0.2893954410307235,0.2378240597775167,488,7,710,146,0.8394352402529972,0.8732630016741665,0.15994680194275607,451727457.8450235,3522116.716516042,448205341.1285075,7,710,334365.2537712979,503159.53093086317,67512.57564144263
0.65,0.6039970392301999,0.6636446238081752,0.8706697459584296,0.44042056074766356,0.5849495733126454,0.33791380198410687,439,56,479,377,0.8394352402529972,0.8732630016741665,0.15994680194275607,457796379.74274945,55706685.98948634,402089693.7532631,56,479,338857.42393985897,994762.249812256,89774.58912055622
0.75,0.45003700962250187,0.564300717454923,0.9669421487603306,0.1366822429906542,0.23950870010235414,0.2169901676283027,491,4,739,117,0.8394352402529972,0.8732630016741665,0.15994680194275607,488894261.2506767,897916.176261626,487996345.0744151,4,739,361875.84104417224,224479.0440654065,70621.69369960214
0.8,0.38786084381939306,0.5165132634758803,0.967741935483871,0.035046728971962614,0.06764374295377677,0.1062758470847496,494,1,826,30,0.8394352402529972,0.8732630016741665,0.15994680194275607,537286594.5031486,170207.92432115995,537116386.5788274,1,826,397695.4807573268,170207.92432115995,69543.14911585084
0.85,0.36639526276831974,0.5,0.0,0.0,0.0,0.0,495,0,856,0,0.8394352402529972,0.8732630016741665,0.15994680194275607,541725310.2283056,0.0,541725310.2283056,0,856,400980.98462494864,0.0,67681.71584884795
0.9,0.36639526276831974,0.5,0.0,0.0,0.0,0.0,495,0,856,0,0.8394352402529972,0.8732630016741665,0.15994680194275607,541725310.2283056,0.0,541725310.2283056,0,856,400980.98462494864,0.0,67681.71584884795
0.95,0.36639526276831974,0.5,0.0,0.0,0.0,0.0,495,0,856,0,0.8394352402529972,0.8732630016741665,0.15994680194275607,541725310.2283056,0.0,541725310.2283056,0,856,400980.98462494864,0.0,67681.71584884795
