feature,importance
PMVL[PFMIndice.Perf J / J-1],20.646207068434496
PMVL[PRMP VNC],17.932450728097336
PMVL[PRMP PMVL],10.346400001424758
PMVL[PMVL Estimé],5.4549213625615725
PMVL[Parametres_Indices.TICKER],5.4268384051315985
PMVL[Ref Unik Codes Completed],4.842343906730212
PMVL[PMVL Estimée + PRATIC],4.839006143532282
PMVL[3A],4.66013946322745
PMVL[CIC],3.4241798097103864
PMVL[Ref Unik Light],3.401791880928197
PMVL[PRMP MtM],2.6972621570731854
position_group,2.0167552293105846
PMVL[Ptf name],1.9664654310540506
PMVL[Ref Unik Asset],1.8033157520634564
PMVL[Purch. Val. (clean) (ptf cur.)],1.7313606546978497
PMVL[MtM Estimée + PRATIC],1.7022261604446383
PMVL[Quantity],1.6007580747401466
PMVL[MtM Estimé],1.5766742856107405
PMVL[CANTON],1.507787110511554
PMVL[Inst Num],1.2611575556984773
PMVL[Quote],0.7235488389948801
PMVL[Inst. Nominal],0.33823461153893786
PMVL[Quote Mode],0.05634291721372403
PMVL[PRATIC_PMVLEstimée],0.03074068655271799
PMVL[RefUnik Position],0.013091764716887848
PMVL[VNC Agrege dirty (ptf cur.)],0.0
PMVL[GROUPE],0.0
