threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample,avg_cost_fp,avg_cost_fn
0.2,0.8660251665433013,0.7548530877954372,0.8881057268722466,0.9491525423728814,0.9176149294492489,0.5703038047099879,162,127,54,1008,0.8674499377683941,0.951560729228796,0.14483213516629861,107630208.1356721,91615452.1887812,16014755.94689091,127,54,79667.06745793643,721381.5132974898,31717.033646371445
0.25,0.8660251665433013,0.7750017920095922,0.899365367180417,0.9340866290018832,0.9163972286374134,0.5825901030654141,178,111,70,992,0.8674499377683941,0.951560729228796,0.14483213516629861,108040246.64098611,90692930.27199459,17347316.368991528,111,70,79970.57486379432,817053.425873825,26503.318576769027
0.05,0.8608438193930422,0.6772590724558352,0.8507223113964687,0.9981167608286252,0.9185441941074524,0.5429951833133497,103,186,2,1060,0.8674499377683941,0.951560729228796,0.14483213516629861,108752825.39821063,107491620.03334299,1261205.3648676353,186,2,80498.02027994866,577911.9356631346,67440.6600000005
0.15,0.8652849740932642,0.7354928678018233,0.8780068728522337,0.9623352165725048,0.9182389937106918,0.5592701502686681,147,142,40,1022,0.8674499377683941,0.951560729228796,0.14483213516629861,110840717.8104456,95272057.6277413,15568660.182704303,142,40,82043.46247997454,670929.9832939528,41625.28749421791
0.1,0.8638045891931903,0.7043281918949036,0.8628099173553719,0.9830508474576272,0.9190140845070423,0.54810936925595,123,166,18,1044,0.8674499377683941,0.951560729228796,0.14483213516629861,112926263.6302636,100446016.99504611,12480246.635217486,166,18,83587.16775001006,605096.4879219644,74150.94000000435
0.3,0.8593634344929681,0.7808388559810764,0.9044526901669759,0.9180790960451978,0.9112149532710281,0.5735980506147107,186,103,87,975,0.8674499377683941,0.951560729228796,0.14483213516629861,119698772.04110193,85638981.55364306,34059790.48745888,103,87,88600.12734352474,831446.4228509035,41868.62683198233
0.35,0.8497409326424871,0.7835333867678012,0.9086584205518554,0.89924670433145,0.9039280643634643,0.5594784918957405,193,96,107,955,0.8674499377683941,0.951560729228796,0.14483213516629861,134159589.64078072,80881003.26370019,53278586.37708054,96,107,99303.9153521693,842510.4506635437,53251.87619507242
0.4,0.8371576609918578,0.7944190304902287,0.9193227091633466,0.8691148775894538,0.89351403678606,0.5526821773455899,208,81,139,923,0.8674499377683941,0.951560729228796,0.14483213516629861,149626832.17887822,78068319.98383772,71558512.1950405,81,139,110752.65150176034,963806.4195535523,55056.994510129705
0.45,0.8297557364914878,0.7960074026287152,0.9227642276422764,0.8549905838041432,0.8875855327468231,0.5457744067181027,213,76,154,908,0.8674499377683941,0.951560729228796,0.14483213516629861,191522781.18244976,77122751.8535243,114400029.32892548,76,154,141763.71664133956,1014773.0507042671,79445.88603802516
0.5,0.8156920799407846,0.7895806045914544,0.922996878251821,0.835216572504708,0.8769154720711814,0.5241030035392023,215,74,175,887,0.8674499377683941,0.951560729228796,0.14483213516629861,218957706.83588836,75049229.25452429,143908477.58136407,74,175,162070.84147734148,1014178.7737097878,87945.64291349103
0.55,0.7823834196891192,0.7784685160205658,0.9266666666666666,0.7853107344632768,0.8501529051987767,0.48429250758399367,223,66,228,834,0.8674499377683941,0.951560729228796,0.14483213516629861,224430875.28554547,74580019.03465354,149850856.25089192,66,228,166122.03944155845,1130000.288403842,70289.48800106994
0.6,0.7549962990377498,0.7711229057924267,0.9315230224321134,0.7429378531073446,0.8266107909900472,0.459780356293685,231,58,273,789,0.8674499377683941,0.951560729228796,0.14483213516629861,261541254.8538049,66337026.91827128,195204227.9355336,58,273,193590.86221599177,1143741.8434184704,76470.26070439383
0.65,0.7268689859363434,0.7607878977446745,0.9347553324968633,0.7015065913370998,0.8015061861215708,0.4348550979221594,237,52,317,745,0.8674499377683941,0.951560729228796,0.14483213516629861,263422436.60361248,58616528.73563121,204805907.86798128,52,317,194983.29874434677,1127240.937223677,69095.41283354654
0.7,0.6831976313841599,0.7468623541141282,0.9427374301675978,0.635593220338983,0.7592800899887514,0.4056511091505381,248,41,387,675,0.8674499377683941,0.951560729228796,0.14483213516629861,287255117.035613,46398097.30827355,240857019.72733945,41,387,212624.06886425833,1131660.909957891,66560.15754578404
0.75,0.6010362694300518,0.7097139952690947,0.9500860585197934,0.519774011299435,0.671941570298235,0.34740427687531145,260,29,510,552,0.8674499377683941,0.951560729228796,0.14483213516629861,345726826.93356407,29200767.637461703,316526059.29610234,29,510,255904.387071476,1006923.021981438,66375.11595626958
0.8,0.5011102886750555,0.6688219654761206,0.973170731707317,0.3757062146892655,0.5421195652173914,0.301150360570048,278,11,663,399,0.8674499377683941,0.951560729228796,0.14483213516629861,351845635.9003919,7117157.348041996,344728478.55234987,11,663,260433.4832719407,647014.3043674543,55607.021347807844
0.85,0.3945225758697261,0.6085811193869373,0.9803149606299213,0.2344632768361582,0.378419452887538,0.2279162642927396,284,5,813,249,0.8674499377683941,0.951560729228796,0.14483213516629861,376772698.99362576,5323001.702893224,371449697.29073256,5,813,278884.3071751486,1064600.3405786448,48862.47499284836
0.9,0.25832716506291636,0.5269892935572368,0.9838709677419355,0.05743879472693032,0.10854092526690391,0.10578166269838957,288,1,1001,61,0.8674499377683941,0.951560729228796,0.14483213516629861,405677180.82912743,389453.1889875885,405287727.6401398,1,1001,300279.1864020188,389453.1889875885,43300.74551901631
0.95,0.21391561806069578,0.5,0.0,0.0,0.0,0.0,289,0,1062,0,0.8674499377683941,0.951560729228796,0.14483213516629861,448597184.35295,0.0,448597184.35295,0,1062,332048.2489659141,0.0,45174.98579194126
