Feature,Importance
PMVL[Quote Date],18.082068514731837
PMVL[PMVL Estimé],17.190661377215484
PMVL[PFMIndice.Perf J / J-1],9.758717915731582
position_group,8.245349398871136
PMVL[Parametres_Indices.TICKER],5.325257435276493
PMVL[Orig. name],5.276519515005876
PMVL[3A],5.192015181922547
PMVL[Ptf name],4.228501813683302
PMVL[PRMP PMVL],4.0246997433668055
PMVL[CIC],3.6643268667702027
PMVL[Quote],3.0181462085780275
PMVL[ISIN],2.7739503996935513
PMVL[Purch. Val. (clean) (ptf cur.)],2.5381593399421343
PMVL[Ref Unik Asset],2.223172066138743
PMVL[VNC Agrege dirty (ptf cur.)],2.10107778657081
PMVL[PRMP VNC],1.8482497192358485
PMVL[Selected Fund code],1.3929591670721277
PMVL[ENTITE],1.0304990039089426
PMVL[PRMP MtM],0.8004013067076783
PMVL[Quantity],0.7865380608284739
PMVL[CANTON],0.49872917874840367
PMVL[GROUPE],0.0
