error_type,PMVL[Ptf name],error_mtm_sum,error_mtm_count,error_mtm_mean
FN,AUXIA HM ACT COTE,668115.13,10,66811.51
FN,CMAV HM ACT COTE,0.0,3,0.0
FN,EMUT HORS MDT COTE,0.0,1,0.0
FN,INPR HM ACT COTE,16489.49,4,4122.37
FN,MHM HM ACTIFS COTE,0.0,18,0.0
FN,MHP HM ACT COTE,8183180.32,23,355790.45
FN,MHP PERE HM ACT COTE,0.0,2,0.0
FN,MHRS HM ACTIFS COTE,151190.49,8,18898.81
FN,MHRS MICHELIN HM ACT COTE,0.0,2,0.0
FN,QUATREM HM ACT COTE,0.0,3,0.0
FP,AUXIA ASS HM ACT COTE,0.0,5,0.0
FP,AUXIA HM ACT COTE,0.0,10,0.0
FP,AUXIA HM ACT PIV UC,0.0,5,0.0
FP,CAPREVAL HM ACT COTE,0.0,5,0.0
FP,CMAV HM ACT COTE,127041.72,10,12704.17
FP,EMUT HORS MDT COTE,0.0,7,0.0
FP,INPR HM ACT COTE,0.0,7,0.0
FP,MHM HM ACTIFS COTE,0.0,22,0.0
FP,MHP EDIT HM ACT COTE,0.0,10,0.0
FP,MHP HM ACT COTE,10904498.15,81,134623.43
FP,MHP HM NANT GENERALI,0.0,2,0.0
FP,MHP HM NANTI CNP,0.0,2,0.0
FP,MHP HM NANTI ID,0.0,2,0.0
FP,MHP HM NANTI SMI,0.0,2,0.0
FP,MHP PERE HM ACT COTE,0.0,2,0.0
FP,MHP PERE HM ACT NC,0.0,1,0.0
FP,MHRS HM ACTIFS COTE,82218.25,10,8221.83
FP,MHRS MICHELIN HM ACT COTE,0.0,3,0.0
FP,MRS SG HM ACT COTE,0.0,8,0.0
FP,QUATREM HM ACT COTE,503389.07,41,12277.78
FP,QUATREM HM ACT NC,0.0,8,0.0
