orig_index,error_type,error_mtm,prob,pmvl_real,pmvl_estim
13595,FP,6132454.0,1.0,-113620268.0,-107487814.0
14269,FP,4772044.0,1.0,-85310438.0,-80538394.0
14967,FN,3776019.0,1.0,-74306428.0,-78082447.0
14501,FN,3141826.0,1.0,-79341433.0,-76199607.0
15471,FN,1265335.0,1.0,-61455890.0,-62721225.0
13574,FP,503389.0,1.0,-3295609.0,-2792220.0
15468,FN,415802.0,1.0,1939716.0,2355519.0
14498,FN,252313.0,1.0,955359.0,1207671.0
13810,FN,151190.0,1.0,782449.0,933640.0
15473,FP,82218.0,1.0,1747264.0,1829482.0
