orig_index,error_type,error_mtm,prob,pmvl_real,pmvl_estim
12900,FN,22221114.0,1.0,-113620268.0,-91399154.0
13132,FN,13993471.0,1.0,-113620268.0,-127613739.0
13364,FN,11795340.0,0.0,-113620268.0,-101824928.0
14967,FN,3776019.0,0.0,-74306428.0,-78082447.0
13808,FN,3413234.0,0.0,-70661685.0,-67248450.0
14501,FN,3141826.0,0.0,-79341433.0,-76199607.0
14734,FN,2775182.0,1.0,-76893712.0,-74118530.0
15471,FN,1265335.0,0.0,-61455890.0,-62721225.0
15468,FN,415802.0,0.0,1939716.0,2355519.0
14498,FN,252313.0,0.0,955359.0,1207671.0
