feature,importance
ratio_pmvl_vnc,15.924422506894496
holding_dow,12.49874672649347
PMVL[PRMP PMVL],11.542298401993314
PMVL[PFMIndice.Perf J / J-1],7.84740475747033
holding_month,6.707391673834737
PMVL[Quote],6.465379972433681
ratio_pmvl_est_real,4.730003302209451
PMVL[PMVL Estimé],2.6428679264319546
PMVL[PMVL Estimée + PRATIC],2.131195415524059
PMVL[MtM Estimée + PRATIC],2.0625827955995635
PMVL[Quantity],1.7839289819370048
PMVL[PRMP MtM],1.7315840649504846
PMVL[PRMP VNC],1.5176623735831682
PMVL[Parametres_Indices.TICKER]_pas de ticker,1.21465009035168
PMVL[Purch. Val. (clean) (ptf cur.)],1.1190887727258474
PMVL[Ref Unik Light]_PP_FAC_Taux,1.097584579506144
PMVL[VNC Agrege dirty (ptf cur.)],1.0090571162254287
PMVL[MtM Estimé],0.8547807592008955
PMVL[Parametres_Indices.TICKER]_LECPTREU,0.8016433471977116
PMVL[Parametres_Indices.TICKER]_M7EM,0.7419825850787768
PMVL[Ref Unik Asset]_FC_Act_US,0.6486468163972892
PMVL[CANTON]_QUATREM AG,0.5636815395399974
PMVL[CIC]_FR41,0.5596964198655237
PMVL[Parametres_Indices.TICKER]_HE00,0.5404585487783008
PMVL[Ref Unik Codes Completed]_PP_FAC_Taux_Corp_IG,0.5379247223418174
PMVL[Ref Unik Light]_PP_FAC_Act,0.5185641796072827
PMVL[Ref Unik Codes Completed]_PP_FAC_Act_US_LC,0.4897021083001455
PMVL[Ref Unik Asset]_FC_Act_EUR,0.41137921147039347
PMVL[PRATIC_PMVLEstimée],0.38955487161287955
PMVL[CIC]_FR42,0.38769284445712815
PMVL[Ref Unik Codes Completed]_PP_FAC_Act_EUR_LC,0.3721873392340619
PMVL[Ref Unik Codes Completed]_PP_FAC_Taux_Corp_HY,0.3358693657083226
PMVL[Parametres_Indices.TICKER]_UCBIFX13,0.26367832259009244
PMVL[Ptf name]_QUATREM HM ACT COTE,0.263448963504793
PMVL[Ptf name]_CMAV HM ACT COTE,0.2519440936601653
PMVL[Inst Num]_5873493,0.25189555897275684
PMVL[Ref Unik Light]_PP_FAC_Conv,0.22936332752473718
PMVL[Ref Unik Asset]_FC_Taux_Autre,0.2152651444255164
PMVL[Ref Unik Asset]_FC_Taux_Entr,0.18818723651727368
PMVL[3A]_Hors mandat MUTUELLE MH AG,0.18683585422405039
PMVL[CIC]_LU41,0.1862513781754934
PMVL[Ref Unik Light]_PP_FAC_DIV,0.18605822354018137
PMVL[Ptf name]_MHP HM ACT COTE,0.17512344472969307
PMVL[3A]_Hors mandat QUATREM AG,0.17056483150580048
PMVL[CANTON]_MMH AG,0.16620843062324128
PMVL[CANTON]_AUXIA AG,0.1651429994002957
PMVL[Ptf name]_EMUT HORS MDT COTE,0.16201439204165882
PMVL[Ref Unik Asset]_FC_Act_AsPac,0.1602681991958705
PMVL[Ref Unik Codes Completed]_PP_FAC_Conv_Global,0.15781692081895507
PMVL[Inst Num]_5873492,0.1568118849782569
PMVL[Inst Num]_4284156,0.1499925303836383
PMVL[CIC]_FR44,0.1413666321817489
PMVL[Parametres_Indices.TICKER]_LG20TREH,0.13979763491133917
PMVL[Ptf name]_MHRS HM ACTIFS COTE,0.13782932688055938
PMVL[CANTON]_CMAV AG,0.13644328525878507
PMVL[Ref Unik Light]_PP_Mon_Fonds,0.13596446103838206
PMVL[3A]_Hors mandat EMUT AG,0.13165307832569373
PMVL[3A]_Hors mandat AUXIA ASSISTANCE,0.13149073677065962
PMVL[Ref Unik Asset]_FC_Act_exEUR,0.12895470202738632
PMVL[3A]_Hors mandat MHP AG,0.12647388597950102
PMVL[Inst Num]_5873494,0.11915089751235315
PMVL[RefUnik Position]_PP,0.11683442326451737
PMVL[Inst Num]_11008390,0.11387946269028305
PMVL[CANTON]_MHRS AG,0.11271204440900054
PMVL[Inst Num]_5873491,0.11164722085680685
PMVL[CANTON]_EMUT AG,0.11068943459397207
PMVL[Ptf name]_INPR HM ACT COTE,0.10780218966654576
PMVL[Parametres_Indices.TICKER]_M7EUM,0.10670626967489602
PMVL[Ref Unik Asset]_FC_Taux_HY,0.09972421838207578
PMVL[CIC]_LU42,0.09938972836310465
PMVL[Parametres_Indices.TICKER]_ActionMixte,0.09767665676398925
PMVL[Parametres_Indices.TICKER]_MSDEPN,0.09720989035703725
PMVL[Ptf name]_MHM HM ACTIFS COTE,0.09636038312650445
PMVL[3A]_Hors mandat INPR AG,0.09409091819573377
PMVL[Quote Mode]_P,0.09274281900726121
PMVL[CANTON]_CAPREVAL AG,0.09213823251690496
PMVL[3A]_Hors mandat CMAV AG,0.09127686426945625
PMVL[Parametres_Indices.TICKER]_MSDEEEMN,0.09002674122336866
PMVL[Ptf name]_AUXIA HM ACT COTE,0.08650948206417418
PMVL[Inst Num]_5876542,0.08018146593673345
PMVL[Ref Unik Asset]_FC_Act_Emerg,0.07998199969521201
PMVL[Inst Num]_8009926,0.07972823236258406
PMVL[Parametres_Indices.TICKER]_Monetaire,0.07827631160933197
PMVL[Inst Num]_10184109,0.0779980360693053
PMVL[Ref Unik Codes Completed]_PP_FAC_Act_Asie,0.0777938653073433
PMVL[Quote Mode]_%,0.07750455302485848
PMVL[Inst Num]_10184067,0.07203710959811724
PMVL[Ref Unik Codes Completed]_PP_FAC_Taux_Autre,0.06814341730122976
PMVL[Ref Unik Codes Completed]_PP_FAC_Act_EUR_SMC,0.06783543050118614
PMVL[Ref Unik Codes Completed]_PP_FAC_Act_Eme,0.06393646391587747
PMVL[Inst Num]_4597012,0.06204109604503563
PMVL[Parametres_Indices.TICKER]_Diversifié,0.06103550301902926
PMVL[Ref Unik Asset]_FC_Div,0.05993732463055735
PMVL[CANTON]_MHP AG,0.059741090796766386
PMVL[Inst Num]_10187321,0.05693283721223737
PMVL[Inst Num]_9529463,0.05661403718643743
PMVL[Ref Unik Asset]_Obl_Entr_Sub_Stru,0.053943967836065615
PMVL[CANTON]_MHP PERE,0.05260591690463684
PMVL[Inst Num]_11976073,0.050712930553881014
PMVL[CANTON]_INPR AG,0.04875794372481411
PMVL[Ptf name]_CAPREVAL HM ACT COTE,0.047644057486154
PMVL[Ref Unik Codes Completed]_PP_FAC_DIV_PRATIC,0.047010427014710976
PMVL[Ref Unik Codes Completed]_PP_Mon_Fonds,0.04676653747834317
PMVL[Ref Unik Asset]_FC_Taux_Souv,0.0431706883869465
PMVL[Ref Unik Codes Completed]_PP_FAC_Act_ExEUR,0.04291380484864072
PMVL[Ref Unik Light]_PA_Obl_Struct,0.04280024473457499
PMVL[CANTON]_AUXIA ASS,0.04079971028269446
PMVL[Parametres_Indices.TICKER]_LEATTREU,0.0391832681657749
PMVL[Inst Num]_5873302,0.037660803613981796
PMVL[Ptf name]_AUXIA ASS HM ACT COTE,0.03723154471117083
PMVL[Inst Num]_9745480,0.03621210980845274
PMVL[Ptf name]_MHP PERE HM ACT COTE,0.035596638213155035
PMVL[Ref Unik Asset]_FC_Taux_Emerg,0.03421171068808614
PMVL[Ptf name]_MRS SG HM ACT COTE,0.03337174505683711
PMVL[Inst Num]_8615538,0.03137355902364972
PMVL[Ref Unik Asset]_FC_Taux_Infl,0.030561832127352848
PMVL[CANTON]_MHRS MICHELIN,0.03052671158449346
PMVL[3A]_Mandats LBPAM MHRS SG,0.028286535000409854
PMVL[3A]_Hors mandat AUXIA AG,0.02799709057923281
PMVL[Ref Unik Codes Completed]_PP_FAC_Taux_Eme,0.027994753700620347
PMVL[Inst Num]_7271877,0.027982657974415417
PMVL[CANTON]_MHRS AG SG,0.027918337475406434
PMVL[Ptf name]_MHP EDIT HM ACT COTE,0.027191939151477502
PMVL[Inst Num]_4622726,0.026902147231970305
PMVL[Ref Unik Codes Completed]_PP_FAC_Act_EUR_MULTI,0.026629358216081346
PMVL[RefUnik Position]_PA,0.02647128072241018
PMVL[Ref Unik Asset]_FC_Conv_Monde,0.025878193447952176
PMVL[Ref Unik Codes Completed]_PP_FAC_Taux_Gov,0.025549667075136395
PMVL[3A]_Hors mandat MHRS MICHELIN,0.024565473748573794
PMVL[Ref Unik Codes Completed]_PP_FAC_Taux_Infl,0.02392857795703319
PMVL[3A]_Hors mandat MHRS AG,0.02201839580867687
PMVL[3A]_batch,0.021176962197378416
PMVL[CIC]_FR46,0.020694828154586925
PMVL[Inst Num]_10056894,0.019443728885453863
PMVL[Inst Num]_10907450,0.019435520063096484
PMVL[Inst Num]_10230506,0.01892488299968139
PMVL[Ref Unik Asset]_FC_Mon,0.01871768215158852
PMVL[Ptf name]_MHRS MICHELIN HM ACT COTE,0.018225655113992798
PMVL[CIC]_XL41,0.017042739272121944
PMVL[Inst Num]_8466172,0.01693527167035666
PMVL[3A]_Mandats LBPAM MHP PERE,0.016892006954566788
PMVL[Inst Num]_3215199,0.0168559753094579
PMVL[Inst Num]_7240232,0.01671566494354962
PMVL[CIC]_FR43,0.01571575415323189
PMVL[Inst Num]_7240253,0.015273454202674506
PMVL[Inst Num]_8615537,0.014851769401716298
PMVL[Ptf name]_MHP HM NANTI ID,0.013284659696882648
PMVL[Inst Num]_5080831,0.013022325319546559
PMVL[Inst Num]_7240285,0.012089552725102544
PMVL[Inst Num]_4622731,0.01196540551642489
PMVL[Inst Num]_8615535,0.011797530954943958
PMVL[Inst Num]_5338906,0.011459016126584273
PMVL[Inst Num]_4932779,0.010137580503391957
PMVL[Ref Unik Codes Completed]_PP_FAC_DIV_Autres,0.010105958229497563
PMVL[Inst Num]_5873495,0.009853574603394743
PMVL[Inst Num]_8426038,0.00960421755781922
PMVL[Inst Num]_4622700,0.009458042380867518
PMVL[CIC]_GB51,0.008650240554982161
PMVL[Ref Unik Codes Completed]_PA_Obl_Struct,0.0076771288671416416
PMVL[Ptf name]_QUATREM MDT OSTRUM PA,0.007639039437366282
PMVL[Inst Num]_10831093,0.00724891060536766
PMVL[Inst Num]_5873258,0.007036700845647126
PMVL[Inst Num]_7185089,0.007005557832060434
PMVL[Inst Num]_8615536,0.00697867673064796
PMVL[Ptf name]_AUXIA HM ACT PIV UC,0.0062469672911379635
PMVL[Inst Num]_5873490,0.005828241416968932
PMVL[Ptf name]_MHP HM NANTI SMI,0.005741467782103721
PMVL[Inst Num]_11972345,0.005466210783793193
PMVL[CIC]_NL54,0.005174522522488234
PMVL[Ptf name]_MHP HM NANTI CNP,0.005085441067655664
PMVL[Ptf name]_AUXIA HM ACT NC,0.004890837488246068
PMVL[Ref Unik Asset]_FC_Act_Mixte,0.004861947663709264
PMVL[Inst Num]_10748672,0.004482181578303599
PMVL[Inst Num]_4622704,0.004428653158362274
PMVL[CIC]_LU44,0.004398662373240821
PMVL[Parametres_Indices.TICKER]_LF94TRUU,0.004096669477798448
PMVL[Inst Num]_8979820,0.0039424091849925786
PMVL[Inst Num]_8466180,0.0038715983176523285
PMVL[Inst Num]_4622713,0.0038642070316026213
