feature,importance
ratio_pmvl_vnc,16.440282207474894
holding_dow,12.254569702009581
PMVL[PRMP PMVL],7.596664814142177
holding_month,6.036005681763832
PMVL[PMVL Estimé],5.892197499848491
PMVL[PFMIndice.Perf J / J-1],5.370490230255625
ratio_pmvl_est_real,5.144478623713209
PMVL[Quote],4.662329569813417
PMVL[PMVL Estimée + PRATIC],3.7943552856443876
PMVL[MtM Estimée + PRATIC],2.4624359215757545
PMVL[Quantity],2.4565205826647385
PMVL[PRMP VNC],1.9291988627922678
PMVL[Purch. Val. (clean) (ptf cur.)],1.6032754030643894
PMVL[MtM Estimé],1.5899757443179279
PMVL[VNC Agrege dirty (ptf cur.)],1.3164038866989822
PMVL[PRMP MtM],1.2855237473284493
PMVL[Ref Unik Light]_PP_FAC_Act,1.172587850472511
PMVL[Parametres_Indices.TICKER]_LECPTREU,1.123645533776281
PMVL[CANTON]_QUATREM AG,1.0950399720034307
PMVL[Ref Unik Light]_PP_FAC_Taux,1.0142557784380168
PMVL[Parametres_Indices.TICKER]_M7EM,0.9934066963674653
PMVL[Ref Unik Asset]_FC_Act_US,0.8999631301597738
PMVL[CIC]_FR42,0.6496217504666802
PMVL[Ref Unik Light]_PP_FAC_DIV,0.5946854541012452
PMVL[3A]_Hors mandat QUATREM AG,0.5767521195202031
PMVL[Ptf name]_QUATREM HM ACT COTE,0.5414726239206018
PMVL[Ref Unik Light]_PP_FAC_Conv,0.4290294692780784
PMVL[Quote Mode]_%,0.37703671935438215
PMVL[Ref Unik Codes Completed]_PP_FAC_Act_US_LC,0.3595514093112261
PMVL[Ref Unik Light]_PP_Mon_Fonds,0.3321954474137983
PMVL[CANTON]_MHRS AG,0.3262479122559102
PMVL[Parametres_Indices.TICKER]_HE00,0.32200418824745236
PMVL[Ref Unik Codes Completed]_PP_FAC_Taux_Corp_HY,0.31472936185453687
PMVL[CANTON]_AUXIA AG,0.3143226136611193
PMVL[CANTON]_MHP AG,0.2918873920724671
PMVL[Parametres_Indices.TICKER]_UCBIFX13,0.28257115193518406
PMVL[Ref Unik Asset]_FC_Taux_Entr,0.26861063517859196
PMVL[Parametres_Indices.TICKER]_MSDEEEMN,0.24923859855339553
PMVL[Ref Unik Asset]_FC_Act_exEUR,0.24675619125981596
PMVL[PRATIC_PMVLEstimée],0.2194858750186753
PMVL[CANTON]_AUXIA ASS,0.21768243102016094
PMVL[Ref Unik Codes Completed]_PP_FAC_Act_EUR_LC,0.21630183812245932
PMVL[Parametres_Indices.TICKER]_pas de ticker,0.2047445236480793
PMVL[Parametres_Indices.TICKER]_Diversifié,0.20221475871191036
PMVL[CIC]_LU42,0.1974348476697411
PMVL[Ptf name]_EMUT HORS MDT COTE,0.17942426466922068
PMVL[3A]_Hors mandat EMUT AG,0.17800742074003625
PMVL[Ptf name]_CMAV HM ACT COTE,0.17279727442526913
PMVL[CIC]_FR41,0.16252863229353767
PMVL[3A]_Hors mandat MUTUELLE MH AG,0.16112865900622697
PMVL[CANTON]_MMH AG,0.15736546100783882
