orig_index,error_type,error_mtm,prob,pmvl_real,pmvl_estimated
12900,FN,22221114.0,1.0,-113620268.0,-91399154.0
14079,FP,16720999.0,1.0,-69437824.0,-86158823.0
13132,FN,13993471.0,1.0,-113620268.0,-127613739.0
13364,FN,11795340.0,1.0,-113620268.0,-101824928.0
13808,FN,3413234.0,1.0,-70661685.0,-67248450.0
14501,FN,3141826.0,1.0,-79341433.0,-76199607.0
14734,FN,2775182.0,1.0,-76893712.0,-74118530.0
15471,FN,1265335.0,1.0,-61455890.0,-62721225.0
15474,FP,836488.0,1.0,2247006.0,1410518.0
15236,FP,562961.0,1.0,1288848.0,1851809.0
