feature,importance
PMVL[Quote],10.595060220679695
PMVL[PRMP PMVL],8.13092951344015
PMVL[Ref Unik Codes Completed],8.03243401969106
PMVL[Ptf name],6.998776251140158
PMVL[PMVL Estimé],6.547689280620907
position_group,5.797854115762066
PMVL[Ref Unik Light],5.427672605104627
PMVL[PMVL Estimée + PRATIC],5.3564138819409095
PMVL[Inst Num],5.334594134120765
PMVL[Parametres_Indices.TICKER],4.281357789797163
PMVL[CANTON],3.7640187913530694
PMVL[Ref Unik Asset],3.6151325107236048
PMVL[CIC],3.513072470039189
PMVL[PRMP VNC],3.2132973793461286
PMVL[3A],2.959937628129508
PMVL[MtM Estimé],2.569466536512914
PMVL[PFMIndice.Perf J / J-1],2.555755574984234
PMVL[Quantity],2.490608124439527
PMVL[Purch. Val. (clean) (ptf cur.)],2.214155062530594
PMVL[VNC Agrege dirty (ptf cur.)],2.0329163914317543
PMVL[PRMP MtM],2.032375590631347
PMVL[MtM Estimée + PRATIC],1.9246436920618408
PMVL[Inst. Nominal],0.4471308135783845
PMVL[PRATIC_PMVLEstimée],0.15909030292737855
PMVL[Quote Mode],0.004884787827358119
PMVL[RefUnik Position],0.0007325311856338511
PMVL[GROUPE],0.0
