threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn
0.95,0.6956933270231898,0.7917659533449007,0.9844206426484907,0.6172161172161172,0.7587242026266416,0.4873805870556723,459,16,627,1011,0.9458922948396633,0.982847007967258,0.07395067271274193,175437.68627440007,174183.68627440007,1254.0,16,627
0.9,0.7946048272598202,0.8533211233211233,0.9847020933977456,0.7466422466422467,0.8493055555555555,0.599285094904709,456,19,415,1223,0.9458922948396633,0.982847007967258,0.07395067271274193,176224.52215440004,175394.52215440004,830.0,19,415
0.85,0.8282063416942735,0.8705096073517126,0.9811320754716981,0.7936507936507936,0.8774890313871077,0.6396791201248817,450,25,338,1300,0.9458922948396633,0.982847007967258,0.07395067271274193,268454.9805144002,267778.9805144002,676.0,25,338
0.8,0.8566019876952201,0.8828455754771545,0.9764453961456103,0.8351648351648352,0.9002961500493584,0.6762360466961692,442,33,270,1368,0.9458922948396633,0.982847007967258,0.07395067271274193,301886.64796488686,301346.64796488686,540.0,33,270
0.75,0.8632276384287743,0.8729188355504145,0.9642119752236752,0.8553113553113553,0.90650274991912,0.6718050957670036,423,52,237,1401,0.9458922948396633,0.982847007967258,0.07395067271274193,323051.63429586036,322577.63429586036,474.0,52,237
0.7,0.8793185044959773,0.8743287706445602,0.9576439444076771,0.8833943833943834,0.9190219117180057,0.6923990755412883,411,64,191,1447,0.9458922948396633,0.982847007967258,0.07395067271274193,342367.7709658604,341985.7709658604,382.0,64,191
0.65,0.8887837198296261,0.8714652014652015,0.9511254019292604,0.9029304029304029,0.9264015032884435,0.7035088881828454,399,76,159,1479,0.9458922948396633,0.982847007967258,0.07395067271274193,352193.96233586036,351875.96233586036,318.0,76,159
0.6,0.8991954566966398,0.8654752265278581,0.9422718808193669,0.9267399267399268,0.9344413665743305,0.7169552749098568,382,93,120,1518,0.9458922948396633,0.982847007967258,0.07395067271274193,420621.5639858603,420381.5639858603,240.0,93,120
0.55,0.9010884997633696,0.8524959835486151,0.9322444041137327,0.9407814407814408,0.9364934670312974,0.7131363591123223,363,112,97,1541,0.9458922948396633,0.982847007967258,0.07395067271274193,465047.0829558573,464853.0829558573,194.0,112,97
0.5,0.9025082820634169,0.841453634085213,0.9241706161137441,0.9523809523809523,0.9380637402285027,0.7111886258626863,347,128,78,1560,0.9458922948396633,0.982847007967258,0.07395067271274193,538859.5666958573,538703.5666958573,156.0,128,78
0.45,0.8977756743965926,0.8227061242850717,0.9133720930232558,0.9590964590964591,0.9356759976176295,0.6924373059818774,326,149,67,1571,0.9458922948396633,0.982847007967258,0.07395067271274193,716662.4052858576,716528.4052858576,134.0,149,67
0.4,0.89730241362991,0.8111901548743654,0.906232132647227,0.9676434676434676,0.935931502804842,0.6880404977791594,311,164,53,1585,0.9458922948396633,0.982847007967258,0.07395067271274193,822873.7030858677,822767.7030858677,106.0,164,53
0.35,0.8868906767628963,0.7865374975901291,0.8940845070422535,0.9688644688644689,0.9299736302373278,0.6526159504957859,287,188,51,1587,0.9458922948396633,0.982847007967258,0.07395067271274193,1027471.3171058677,1027369.3171058677,102.0,188,51
0.3,0.882158069096072,0.7730216567058672,0.8873396542108198,0.9713064713064713,0.9274264062955406,0.6358661598556337,273,202,47,1591,0.9458922948396633,0.982847007967258,0.07395067271274193,1069568.2416058676,1069474.2416058676,94.0,202,47
0.25,0.8764789398958827,0.7536636462952253,0.8776741634668129,0.9768009768009768,0.9245882692863334,0.6154597369075296,252,223,38,1600,0.9458922948396633,0.982847007967258,0.07395067271274193,1290946.564535868,1290870.564535868,76.0,223,38
0.2,0.8684335068622812,0.7320320030846347,0.8675675675675676,0.9798534798534798,0.9202981651376146,0.5868375563273027,230,245,33,1605,0.9458922948396633,0.982847007967258,0.07395067271274193,1496358.8125258675,1496292.8125258675,66.0,245,33
0.15,0.8632276384287743,0.7159687680740312,0.8601174586225308,0.9835164835164835,0.9176872685844488,0.5682640610303382,213,262,27,1611,0.9458922948396633,0.982847007967258,0.07395067271274193,1590422.3313758657,1590368.3313758657,54.0,262,27
0.1,0.8547089446284903,0.6932844932844933,0.8500789058390321,0.9865689865689866,0.9132523311669963,0.537120555912968,190,285,22,1616,0.9458922948396633,0.982847007967258,0.07395067271274193,1751139.4839348956,1751095.4839348956,44.0,285,22
0.05,0.8395646000946522,0.6528738512949039,0.8329062019477191,0.9920634920634921,0.9055447199777097,0.47971225568171005,149,326,13,1625,0.9458922948396633,0.982847007967258,0.07395067271274193,1892393.9585009164,1892367.9585009164,26.0,326,13
