feature,importance
PMVL[PRMP PMVL],32.36415008568807
PMVL[Ref Unik Light],9.42341014911623
PMVL[Ref Unik Codes Completed],9.27151860255919
PMVL[PMVL Estimée + PRATIC],6.089406673282762
PMVL[VNC Agrege dirty (ptf cur.)],5.448870267493326
PMVL[3A],4.990113979056742
PMVL[PMVL Estimé],4.431729025299454
PMVL[CANTON],3.9629507567766757
PMVL[PFMIndice.Perf J / J-1],3.723678725366844
PMVL[CIC],3.5454157348308564
PMVL[MtM Estimée + PRATIC],3.0866041059373126
PMVL[Inst Num],2.5862477809934994
PMVL[Quote],2.1051459758193642
PMVL[MtM Estimé],2.0621242443165335
PMVL[PRMP VNC],2.0411211451183395
PMVL[Purch. Val. (clean) (ptf cur.)],1.0196889262988433
PMVL[Parametres_Indices.TICKER],1.0080205080265445
PMVL[PRMP MtM],0.9533436535816343
PMVL[Quantity],0.9167352675127769
PMVL[Ref Unik Asset],0.6877176718666973
PMVL[Inst. Nominal],0.16381553953342856
position_group,0.0717736919203983
PMVL[PRATIC_PMVLEstimée],0.0464174896044734
PMVL[RefUnik Position],0.0
PMVL[Quote Mode],0.0
PMVL[GROUPE],0.0
PMVL[Ptf name],0.0
