threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample
0.7,0.6819687647893989,0.7601653398652786,0.9986357435197817,0.5217391304347826,0.6853932584269663,0.5163520586676545,709,1,671,732,0.979983034342907,0.9896829623391891,0.10847223912907275,7085.783144000001,375.7831440000005,6710.0,1,671,3.353423163274965
0.65,0.7553241836251775,0.8147084215915593,0.9966367713004485,0.6336421952957947,0.7747276688453159,0.6019440294756345,707,3,514,889,0.979983034342907,0.9896829623391891,0.10847223912907275,7355.5259000000015,2215.5259000000015,5140.0,3,514,3.48108182678656
0.6,0.8239469947941316,0.8642963267846566,0.9914204003813155,0.7412687099073414,0.8482871125611745,0.6883102544375502,701,9,363,1040,0.979983034342907,0.9896829623391891,0.10847223912907275,9448.781050105248,5818.781050105249,3630.0,9,363,4.471737363987339
0.75,0.5461429247515381,0.6582323592302209,1.0,0.3164647184604419,0.4807796426637791,0.3669134698699782,710,0,959,444,0.979983034342907,0.9896829623391891,0.10847223912907275,9590.0,0.0,9590.0,0,959,4.538570752484619
0.8,0.3909133932796971,0.5413399857448326,1.0,0.08267997148966501,0.15273206056616195,0.17145110995116453,710,0,1287,116,0.979983034342907,0.9896829623391891,0.10847223912907275,12870.0,0.0,12870.0,0,1287,6.090866067203029
0.85,0.33601514434453383,0.5,0.0,0.0,0.0,0.0,710,0,1403,0,0.979983034342907,0.9896829623391891,0.10847223912907275,14030.0,0.0,14030.0,0,1403,6.639848556554662
0.9,0.33601514434453383,0.5,0.0,0.0,0.0,0.0,710,0,1403,0,0.979983034342907,0.9896829623391891,0.10847223912907275,14030.0,0.0,14030.0,0,1403,6.639848556554662
0.95,0.33601514434453383,0.5,0.0,0.0,0.0,0.0,710,0,1403,0,0.979983034342907,0.9896829623391891,0.10847223912907275,14030.0,0.0,14030.0,0,1403,6.639848556554662
0.45,0.8987221959299574,0.9143430074387882,0.9782783588093322,0.8667141838916608,0.9191232048374905,0.7953400071900327,683,27,187,1216,0.979983034342907,0.9896829623391891,0.10847223912907275,22198.9129694392,20328.9129694392,1870.0,27,187,10.505874571433601
0.5,0.8802650260293422,0.9021834499513116,0.981574539363484,0.8353528153955809,0.9025798998844821,0.7663943275165287,688,22,231,1172,0.979983034342907,0.9896829623391891,0.10847223912907275,22321.653530124,20011.653530124,2310.0,22,231,10.563962863286323
0.55,0.865120681495504,0.8921707006113659,0.9844020797227037,0.8096935138987883,0.8885412592882284,0.7441336459848704,692,18,267,1136,0.979983034342907,0.9896829623391891,0.10847223912907275,22551.749828844004,19881.749828844004,2670.0,18,267,10.672858414029344
0.4,0.9238050165641268,0.9273177195747543,0.9669172932330827,0.9166072701354241,0.9410903768752287,0.835857427701458,666,44,117,1286,0.979983034342907,0.9896829623391891,0.10847223912907275,28158.922043439205,26988.922043439205,1170.0,44,117,13.326513035229155
0.35,0.927117841930904,0.9207683736058547,0.9496040316774658,0.940128296507484,0.9448424068767909,0.8375498956977102,640,70,84,1319,0.979983034342907,0.9896829623391891,0.10847223912907275,33211.27978112489,32371.27978112489,840.0,70,84,15.71759573172025
0.3,0.9275911026975864,0.9162549064881089,0.9407616361071932,0.9508196721311475,0.945763913505849,0.8369834170138516,626,84,69,1334,0.979983034342907,0.9896829623391891,0.10847223912907275,33834.32324414363,33144.32324414363,690.0,84,69,16.012457758704983
0.25,0.926171320397539,0.906489614809312,0.9255972696245733,0.9665003563791874,0.9456066945606695,0.8327816455095572,601,109,47,1356,0.979983034342907,0.9896829623391891,0.10847223912907275,34138.395516787634,33668.395516787634,470.0,109,47,16.156363235583356
0.15,0.9039280643634643,0.8633034844849568,0.8821656050955414,0.9871703492516037,0.9317188025563404,0.7854306192064962,525,185,18,1385,0.979983034342907,0.9896829623391891,0.10847223912907275,37634.445946863234,37454.445946863234,180.0,185,18,17.810906742481418
0.2,0.9171793658305727,0.8913701022958851,0.9109772423025435,0.970064148253742,0.9395926820849154,0.8123721531980252,577,133,42,1361,0.979983034342907,0.9896829623391891,0.10847223912907275,37856.61942778763,37436.61942778763,420.0,133,42,17.916052734400203
0.05,0.7231424514907714,0.5883760151787417,0.7059415911379657,0.9992872416250891,0.8273827087636471,0.35126181300690307,126,584,1,1402,0.979983034342907,0.9896829623391891,0.10847223912907275,42201.56968386322,42191.56968386322,10.0,584,1,19.97234722378761
0.1,0.8637008991954567,0.7975309447562065,0.8300769686204855,0.9992872416250891,0.906856403622251,0.7018145919937961,423,287,1,1402,0.979983034342907,0.9896829623391891,0.10847223912907275,42201.56968386322,42191.56968386322,10.0,287,1,19.97234722378761
