threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample
0.9,0.3677236157122575,0.5,0.0,0.0,0.0,0.0,777,0,1336,0,0.8794592282616235,0.9035983693764769,0.13007894887458896,13360.0,0.0,13360.0,0,1336,6.322763842877426
0.95,0.3677236157122575,0.5,0.0,0.0,0.0,0.0,777,0,1336,0,0.8794592282616235,0.9035983693764769,0.13007894887458896,13360.0,0.0,13360.0,0,1336,6.322763842877426
0.85,0.42972077614765736,0.5466037037893325,0.9395973154362416,0.10479041916167664,0.18855218855218855,0.17554978076955133,768,9,1196,140,0.8794592282616235,0.9035983693764769,0.13007894887458896,13983.950303,2023.9503029999998,11960.0,9,1196,6.618055041646947
0.8,0.6341694273544723,0.6956256406106706,0.917037037037037,0.4633233532934132,0.6156141223272004,0.4046114622610045,721,56,717,619,0.8794592282616235,0.9035983693764769,0.13007894887458896,33350.8988280857,26180.8988280857,7170.0,56,717,15.783671948928395
0.75,0.7079981069569332,0.7432389082838184,0.8946212952799122,0.6100299401197605,0.7254116599910992,0.4736585240281907,681,96,521,815,0.8794592282616235,0.9035983693764769,0.13007894887458896,54418.35403678451,49208.35403678451,5210.0,96,521,25.7540719530452
0.7,0.7534311405584477,0.7705510793085644,0.880485527544351,0.7058383233532934,0.7835479850436228,0.5218724971978507,649,128,393,943,0.8794592282616235,0.9035983693764769,0.13007894887458896,62165.151276343975,58235.151276343975,3930.0,128,393,29.42032715397254
0.65,0.7766209181258874,0.7845814163179432,0.875,0.7544910179640718,0.8102893890675241,0.5511405143744589,633,144,328,1008,0.8794592282616235,0.9035983693764769,0.13007894887458896,82711.42312246577,79431.42312246577,3280.0,144,328,39.144071520334016
0.6,0.7988641741599621,0.7994787452122782,0.8736669401148482,0.7971556886227545,0.8336594911937377,0.5845735037533882,623,154,271,1065,0.8794592282616235,0.9035983693764769,0.13007894887458896,106197.67272990577,103487.67272990577,2710.0,154,271,50.25919201604627
0.55,0.8239469947941316,0.8141983407701971,0.8679389312977099,0.8510479041916168,0.8594104308390023,0.6242437472692722,604,173,199,1137,0.8794592282616235,0.9035983693764769,0.13007894887458896,115828.22655302956,113838.22655302956,1990.0,173,199,54.81695530195436
0.5,0.8272598201609087,0.8122408657588298,0.8593634344929681,0.8690119760479041,0.8641607740975065,0.6270877491087119,587,190,175,1161,0.8794592282616235,0.9035983693764769,0.13007894887458896,157006.55219702958,155256.55219702958,1750.0,190,175,74.30504126693307
0.45,0.8390913393279698,0.8183661634260437,0.8557142857142858,0.8967065868263473,0.8757309941520468,0.6493245978621413,575,202,138,1198,0.8794592282616235,0.9035983693764769,0.13007894887458896,158268.01196602956,156888.01196602956,1380.0,202,138,74.90204068434906
0.4,0.8376715570279224,0.8113199277121432,0.8445523941707148,0.9109281437125748,0.8764854159164566,0.6446649048458987,553,224,119,1217,0.8794592282616235,0.9035983693764769,0.13007894887458896,159086.34436902957,157896.34436902957,1190.0,224,119,75.28932530479393
0.35,0.8419309039280644,0.8074184642298414,0.8331117021276596,0.937874251497006,0.8823943661971831,0.6545474244596271,526,251,83,1253,0.8794592282616235,0.9035983693764769,0.13007894887458896,171970.71253202955,171140.71253202955,830.0,251,83,81.38699125983415
0.3,0.8376715570279224,0.792741736604012,0.8144395186827106,0.9625748502994012,0.8823327615780446,0.6496309168984954,484,293,50,1286,0.8794592282616235,0.9035983693764769,0.13007894887458896,181751.52390706955,181251.52390706955,500.0,293,50,86.01586554996193
0.25,0.8277330809275911,0.7738432401606055,0.7963414634146342,0.9775449101796407,0.8776881720430108,0.633568044620717,443,334,30,1306,0.8794592282616235,0.9035983693764769,0.13007894887458896,186064.12938006956,185764.12938006956,300.0,334,30,88.0568525225128
0.2,0.8102224325603408,0.7486874706186084,0.7771191464137522,0.9812874251497006,0.8673503142573602,0.5977716282339401,401,376,25,1311,0.8794592282616235,0.9035983693764769,0.13007894887458896,186308.20991106945,186058.20991106945,250.0,376,25,88.17236626174608
0.15,0.7889256980596309,0.7183836959286061,0.7554535017221584,0.9850299401197605,0.8551007147498375,0.5535449788920748,351,426,20,1316,0.8794592282616235,0.9035983693764769,0.13007894887458896,226037.14389406948,225837.14389406948,200.0,426,20,106.9745120180168
0.1,0.7278750591575959,0.6305256282801193,0.6995280545359203,0.9985029940119761,0.8226950354609929,0.4243562176010971,204,573,2,1334,0.8794592282616235,0.9035983693764769,0.13007894887458896,235721.58326344675,235701.58326344675,20.0,573,2,111.55777721885791
0.05,0.657359204921912,0.5341055341055341,0.6485436893203883,1.0,0.7868080094228505,0.21032797681262197,53,724,0,1336,0.8794592282616235,0.9035983693764769,0.13007894887458896,236915.63316260674,236915.63316260674,0.0,724,0,112.12287418959146
