threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample
0.75,0.29058211074301943,0.5,0.0,0.0,0.0,0.0,614,0,1499,0,0.770211628599305,0.8691018376037185,0.18928303651414977,22485.0,0.0,22485.0,0,1499,10.64126833885471
0.8,0.29058211074301943,0.5,0.0,0.0,0.0,0.0,614,0,1499,0,0.770211628599305,0.8691018376037185,0.18928303651414977,22485.0,0.0,22485.0,0,1499,10.64126833885471
0.85,0.29058211074301943,0.5,0.0,0.0,0.0,0.0,614,0,1499,0,0.770211628599305,0.8691018376037185,0.18928303651414977,22485.0,0.0,22485.0,0,1499,10.64126833885471
0.9,0.29058211074301943,0.5,0.0,0.0,0.0,0.0,614,0,1499,0,0.770211628599305,0.8691018376037185,0.18928303651414977,22485.0,0.0,22485.0,0,1499,10.64126833885471
0.95,0.29058211074301943,0.5,0.0,0.0,0.0,0.0,614,0,1499,0,0.770211628599305,0.8691018376037185,0.18928303651414977,22485.0,0.0,22485.0,0,1499,10.64126833885471
0.7,0.31235210601041175,0.5134204561998987,0.9259259259259259,0.0333555703802535,0.0643915003219575,0.07722487667803582,610,4,1449,50,0.770211628599305,0.8691018376037185,0.18928303651414977,22552.094351,817.0943510000001,21735.0,4,1449,10.67302146284903
0.65,0.6071935636535731,0.6726672287496768,0.8805460750853242,0.5163442294863242,0.6509671993271657,0.3181067605708342,509,105,725,774,0.770211628599305,0.8691018376037185,0.18928303651414977,53546.515873508724,42671.515873508724,10875.0,105,725,25.341465155470292
0.6,0.6985328916232845,0.7067545573270345,0.8597662771285476,0.6871247498332221,0.7638116425658139,0.37890569492491866,446,168,469,1030,0.770211628599305,0.8691018376037185,0.18928303651414977,83662.58016926088,76627.58016926088,7035.0,168,469,39.594216833535675
0.55,0.7297681022243256,0.6994418646089793,0.8347763347763347,0.771847898599066,0.8020797227036395,0.3812259917338717,385,229,342,1157,0.770211628599305,0.8691018376037185,0.18928303651414977,95364.73598665302,90234.73598665302,5130.0,229,342,45.132388067512075
0.5,0.7647893989588264,0.6986438298713801,0.8199233716475096,0.85657104736491,0.8378466557911909,0.4118134582898374,332,282,215,1284,0.770211628599305,0.8691018376037185,0.18928303651414977,116910.67920967608,113685.67920967608,3225.0,282,215,55.32923767613634
0.45,0.7785139611926172,0.6746625872188408,0.7971181556195965,0.9226150767178118,0.8552875695732839,0.41382740445486893,262,352,116,1383,0.770211628599305,0.8691018376037185,0.18928303651414977,131890.20767613588,130150.20767613589,1740.0,352,116,62.41846080271456
0.4,0.7576904874585897,0.6157546942261182,0.7632,0.9546364242828552,0.8482513337285121,0.3324792109425264,170,444,68,1431,0.770211628599305,0.8691018376037185,0.18928303651414977,138787.45074102824,137767.45074102824,1020.0,444,68,65.68265534360069
0.35,0.7425461429247515,0.5709457770978699,0.7405541561712846,0.980653769179453,0.8438576349024111,0.27005754004986754,99,515,29,1470,0.770211628599305,0.8691018376037185,0.18928303651414977,160926.89963493118,160491.89963493118,435.0,515,29,76.16038790105593
0.3,0.7127307146237577,0.5061811022766535,0.7119771863117871,0.9993328885923949,0.8315292811545933,0.0861860158655306,8,606,1,1498,0.770211628599305,0.8691018376037185,0.18928303651414977,168873.66057993117,168858.66057993117,15.0,606,1,79.92127807852872
0.05,0.7094178892569806,0.5,0.7094178892569806,1.0,0.8300110741971207,0.0,0,614,0,1499,0.770211628599305,0.8691018376037185,0.18928303651414977,169041.47173183117,169041.47173183117,0.0,614,0,80.00069651293477
0.1,0.7094178892569806,0.5,0.7094178892569806,1.0,0.8300110741971207,0.0,0,614,0,1499,0.770211628599305,0.8691018376037185,0.18928303651414977,169041.47173183117,169041.47173183117,0.0,614,0,80.00069651293477
0.15,0.7094178892569806,0.5,0.7094178892569806,1.0,0.8300110741971207,0.0,0,614,0,1499,0.770211628599305,0.8691018376037185,0.18928303651414977,169041.47173183117,169041.47173183117,0.0,614,0,80.00069651293477
0.2,0.7094178892569806,0.5,0.7094178892569806,1.0,0.8300110741971207,0.0,0,614,0,1499,0.770211628599305,0.8691018376037185,0.18928303651414977,169041.47173183117,169041.47173183117,0.0,614,0,80.00069651293477
0.25,0.7094178892569806,0.5,0.7094178892569806,1.0,0.8300110741971207,0.0,0,614,0,1499,0.770211628599305,0.8691018376037185,0.18928303651414977,169041.47173183117,169041.47173183117,0.0,614,0,80.00069651293477
