feature,importance
PMVL[PRMP VNC],34.67580029942826
PMVL[PRMP PMVL],20.55940240066917
PMVL[PFMIndice.Perf J / J-1],5.981816071649982
PMVL[PMVL Estimée + PRATIC],4.681005347951767
PMVL[CIC],3.942020344561265
PMVL[CANTON],3.7802610674435217
PMVL[Ref Unik Asset],3.6058665164635944
PMVL[Ref Unik Light],3.4397453490739083
PMVL[Ref Unik Codes Completed],3.163877717967387
PMVL[Parametres_Indices.TICKER],3.0468073008222802
PMVL[3A],2.2300117932463577
PMVL[MtM Estimée + PRATIC],2.1978053238755013
PMVL[PRMP MtM],2.1499784969015643
PMVL[Ptf name],2.0287971354162666
position_group,1.0053766935710884
PMVL[Quantity],0.9139595442257561
PMVL[MtM Estimé],0.8650640262155175
PMVL[PMVL Estimé],0.7484889856292902
PMVL[Inst. Nominal],0.6534120217679531
PMVL[Inst Num],0.15817064142529036
PMVL[Quote],0.08416740774508677
PMVL[Quote Mode],0.06181760447835161
PMVL[RefUnik Position],0.018158076520696027
PMVL[PRATIC_PMVLEstimée],0.008189832950132269
PMVL[Purch. Val. (clean) (ptf cur.)],0.0
PMVL[GROUPE],0.0
PMVL[VNC Agrege dirty (ptf cur.)],0.0
